Customer_ID,Age,Annual_Income,Spending_Score,Total_Purchases,Average_Order_Value,Total_Spending,Purchase_Frequency,Website_Visits,App_Visits,Email_Opens,Discount_Usage,Returns_Count,Customer_Satisfaction,Days_Since_Last_Purchase,Loyalty_Points,Product_Categories,Online_Purchases,Offline_Purchases,Mobile_Purchases,Coupon_Usage,Support_Calls,Referral_Count,Social_Media_Interactions,Cluster
CUST00015,57,100152.0,6.0,9,427.5,19766.18,5.5,87,31,97,49,5,4.92,175,42185,8,5,65,41,34,6,8,55,1
CUST00016,41,143036.0,35.0,88,416.02,1626.89,7.65,149,81,54,10,8,4.52,302,41127,4,65,12,22,12,5,9,90,0
CUST00017,20,142049.0,22.0,37,1174.66,29245.97,18.84,65,10,60,11,6,2.12,184,3685,3,55,17,74,13,9,0,57,0
CUST00018,39,44734.0,43.0,49,1030.71,762.87,12.32,149,8,85,41,13,1.42,185,24661,4,48,74,32,30,13,3,154,0
CUST00019,19,44069.0,15.0,41,847.38,39411.12,5.79,27,149,80,12,11,1.45,339,42637,6,0,12,19,1,7,11,54,1
CUST00020,41,30910.0,86.0,17,877.93,15460.35,24.2,106,59,86,11,10,2.16,307,18366,11,64,23,24,38,13,4,84,0
CUST00021,61,91479.0,60.0,88,683.25,2204.85,18.02,123,30,99,20,11,3.46,310,37712,7,27,56,51,36,13,8,18,0
CUST00022,47,99264.0,12.0,21,1137.57,29499.94,23.95,44,145,48,9,12,4.22,346,24276,7,19,28,11,13,19,14,150,0
CUST00023,55,41275.0,49.0,51,605.59,20004.68,10.96,100,20,72,19,3,4.6,81,15410,14,47,55,31,8,2,5,102,0
CUST00024,19,90274.0,42.0,59,469.01,48695.26,12.14,28,48,51,49,6,3.5,156,48239,12,71,53,32,9,0,3,111,1
CUST00025,38,118776.0,38.0,39,212.38,27301.09,22.5,17,130,1,35,1,1.02,275,9678,4,64,4,73,6,8,1,107,1
CUST00026,50,66447.0,82.0,55,947.72,13906.91,13.36,127,37,95,27,5,1.75,283,24575,8,50,34,67,27,8,4,46,0
CUST00027,29,144394.0,45.0,41,886.64,35530.06,17.83,123,129,49,23,14,1.4,249,41401,7,42,18,14,24,1,7,106,0
CUST00028,39,93703.0,35.0,39,473.54,13720.3,6.68,131,132,85,4,5,2.45,147,41230,2,48,54,50,27,15,7,193,0
CUST00029,61,94090.0,30.0,13,49.73,45231.32,11.44,76,100,42,36,1,3.01,7,13888,13,24,76,5,1,7,5,178,1
CUST00030,42,35260.0,88.0,64,1010.02,18861.15,3.52,46,54,76,11,13,1.17,157,16727,8,73,68,68,16,5,10,83,0
CUST00031,66,130581.0,30.0,11,33.47,27583.45,5.55,69,122,7,34,3,2.39,171,48971,9,75,43,68,3,12,0,155,1
CUST00032,44,21812.0,78.0,19,850.37,2718.54,0.52,137,25,58,39,7,1.72,69,3081,5,40,77,34,12,0,14,127,0
CUST00033,59,134148.0,6.0,11,1164.9,21420.84,1.46,85,131,64,1,7,3.59,94,23021,4,70,37,33,17,18,7,184,0
CUST00034,45,85688.5,67.0,77,536.44,41651.7,24.44,11,9,80,49,12,2.86,363,9449,4,63,61,62,2,14,3,57,0
CUST00035,33,19605.0,80.0,46,297.27,40321.31,6.44,69,34,11,40,7,2.98,186,15657,13,60,21,67,36,0,14,142,1
CUST00036,32,90303.0,7.0,45,851.75,11371.06,16.75,99,43,3,44,7,2.71,170,35059,4,11,72,17,32,9,13,143,0
CUST00037,64,94125.0,52.0,1,984.21,11458.74,21.06,91,74,76,38,0,4.82,204,1532,6,68,39,25,23,0,1,96,0
CUST00038,68,142040.0,14.0,40,664.79,40901.8,13.99,94,94,94,41,1,1.86,42,37130,11,13,25,60,7,11,0,46,1
CUST00039,61,22324.0,73.0,19,1161.1,46533.84,4.25,115,22,40,8,11,3.07,13,16015,4,33,4,77,34,10,6,190,1
CUST00040,69,94323.0,15.0,76,80.97,4948.97,18.34,31,70,6,21,14,3.94,154,37756,7,47,53,73,1,16,1,139,1
CUST00041,20,27111.0,21.0,72,615.66,22612.92,15.21,11,130,86,46,3,3.23,274,6344,7,60,48,47,32,3,12,102,0
CUST00042,54,34389.0,35.0,72,867.78,17005.22,18.42,87,94,87,4,11,4.72,298,41198,5,34,2,71,11,6,3,170,1
CUST00043,68,140177.0,66.0,61,1037.92,43560.29,19.36,121,32,68,11,8,2.51,51,48461,13,64,37,30,21,11,3,83,0
CUST00044,24,59427.0,91.0,12,231.52,4359.54,24.4,130,106,68,0,2,2.85,212,9106,5,58,13,33,12,12,12,156,0
CUST00045,38,140883.0,2.0,61,964.0,10714.07,14.55,105,144,80,43,13,1.35,144,34206,10,35,46,6,9,4,9,48,0
CUST00046,26,149189.0,35.0,33,672.19,37672.92,8.87,27,1,29,21,5,3.44,357,47587,8,78,13,6,16,5,14,130,1
CUST00047,56,143808.0,82.0,45,487.93,2754.43,16.39,2,72,72,37,6,2.15,3,9652,7,18,74,46,4,1,0,111,0
CUST00048,35,130221.0,78.0,90,175.42,24728.26,2.18,103,50,5,18,7,1.64,254,24550,14,41,72,7,8,6,1,196,0
CUST00049,21,31234.0,20.0,92,1041.05,22216.93,22.49,101,141,88,15,12,3.18,335,6389,7,68,37,77,12,13,0,59,0
CUST00050,42,71441.0,82.0,69,205.58,16853.18,3.42,21,15,18,30,6,3.13,256,22361,6,18,63,0,22,13,5,65,1
CUST00051,31,18846.0,10.0,8,385.55,19849.7,8.53,58,53,79,2,2,1.3,98,35847,7,38,43,76,29,9,12,86,1
CUST00052,67,28954.0,25.0,25,362.25,26591.04,20.49,133,8,84,22,5,3.79,173,39063,7,68,69,2,3,3,2,125,1
CUST00053,26,97239.0,66.0,91,1048.27,8236.09,15.13,85,74,65,41,4,3.5,150,13703,10,51,64,52,20,2,0,25,0
CUST00054,43,64514.0,25.0,46,813.79,28685.39,10.14,93,46,9,17,14,1.76,279,18642,14,11,24,37,8,13,11,70,0
CUST00055,19,106236.0,54.0,87,960.08,40310.53,12.1,20,69,15,25,12,2.88,59,41326,2,46,15,50,6,5,7,73,1
CUST00056,37,115579.0,33.0,30,315.55,38056.01,21.44,61,114,36,12,11,3.88,113,36509,14,75,14,14,15,14,13,196,1
CUST00057,45,60101.0,36.0,47,757.35,7864.22,8.83,38,147,78,17,9,3.12,324,13881,10,35,2,66,22,7,11,46,0
CUST00058,64,82323.0,95.0,87,694.66,7632.62,21.81,148,123,76,2,3,2.58,243,49237,2,62,66,63,22,4,13,75,0
CUST00059,24,109922.0,14.0,49,1002.74,13555.08,2.66,25,139,76,22,0,2.29,310,15414,14,75,36,67,30,2,3,95,0
CUST00060,61,145534.0,65.0,47,1089.18,18181.52,19.53,130,117,31,2,13,3.44,57,14329,10,50,54,4,4,2,9,169,0
CUST00061,25,85584.0,80.0,84,34.34,20541.09,21.26,121,43,46,24,12,4.76,60,49150,7,42,37,9,5,12,6,30,1
CUST00062,64,122537.0,54.0,82,815.34,34048.92,4.95,26,20,71,26,6,3.69,329,22831,14,33,62,7,0,1,9,21,0
CUST00063,52,96477.0,52.0,18,81.17,3022.69,11.04,67,148,42,43,7,1.3,216,41091,10,48,0,11,27,0,1,16,1
CUST00064,31,60533.0,3.0,66,667.65,1926.7,4.55,1,21,81,26,1,2.84,233,7588,7,17,70,63,17,11,14,147,0
CUST00065,34,19828.0,99.0,68,359.41,19717.15,17.81,51,82,35,38,6,4.56,55,903,7,60,18,58,23,7,5,135,1
CUST00066,53,19917.0,41.0,94,382.0,34918.75,13.62,5,57,25,24,5,1.38,208,44416,5,56,51,66,12,18,5,97,1
CUST00067,67,38618.0,6.0,33,436.49,9833.08,16.07,13,74,9,23,4,4.96,63,42723,1,4,29,49,32,8,6,48,1
CUST00068,57,50254.0,25.0,36,753.13,32146.92,5.31,147,98,30,7,12,4.8,184,35572,14,23,54,22,9,13,11,86,1
CUST00069,21,123292.0,13.0,82,414.18,13139.44,5.69,140,110,96,8,3,1.31,311,17610,2,63,13,39,6,17,0,37,0
CUST00070,19,65362.0,98.0,19,884.58,44327.09,1.52,48,115,28,45,1,4.73,281,34052,13,58,12,77,36,9,13,52,1
CUST00071,23,38128.0,8.0,28,497.34,44805.36,8.39,57,42,4,36,9,2.45,26,33457,9,37,26,76,31,8,11,27,1
CUST00072,59,141781.0,21.0,40,100.66,15004.9,14.21,115,68,76,29,5,4.38,177,21527,8,32,8,75,21,5,0,76,1
CUST00073,21,83545.0,98.0,84,944.84,11653.69,21.52,35,70,0,18,4,2.67,63,37550,8,9,40,17,15,0,14,156,0
CUST00074,46,85688.5,68.0,97,357.19,20682.94,16.84,76,78,86,15,1,2.76,73,29011,10,36,47,20,23,4,1,199,0
CUST00075,35,105958.0,25.0,76,530.66,12178.47,11.17,94,90,2,23,9,3.54,335,37275,1,10,11,0,13,9,13,138,1
CUST00076,43,57809.0,79.0,15,828.82,33684.72,23.85,5,111,66,43,6,4.1,167,34764,6,23,9,37,10,12,10,174,1
CUST00077,61,134748.0,68.0,41,412.3,41338.02,18.12,22,112,70,20,5,1.14,225,32004,9,70,5,40,18,3,1,172,1
CUST00078,51,23287.0,45.0,39,86.77,33719.99,23.29,103,103,99,35,11,3.37,65,24064,8,20,33,41,22,0,4,17,1
CUST00079,27,26512.0,60.0,2,461.23,41252.65,13.43,131,145,34,39,14,1.75,69,49581,3,19,51,8,33,1,0,49,1
CUST00080,53,126872.0,12.0,63,1134.45,19970.21,6.84,124,19,14,38,14,2.38,9,28702,4,9,40,22,39,3,10,88,0
CUST00081,31,111070.0,32.0,29,777.25,7984.59,1.79,53,70,66,46,10,2.39,236,20165,3,46,5,77,12,16,1,176,1
CUST00082,48,97767.0,96.0,74,812.35,36949.96,18.29,69,63,92,5,8,2.88,198,8631,6,46,1,10,38,9,5,149,0
CUST00083,65,115829.0,92.0,66,766.09,18151.63,3.47,104,75,29,4,10,2.34,173,21852,14,14,14,70,27,11,2,44,0
CUST00084,32,60078.0,13.0,51,254.81,33629.29,7.92,16,104,81,13,9,1.43,282,4507,9,43,16,30,39,1,3,188,0
CUST00085,25,124288.0,31.0,75,513.63,13678.07,13.55,116,75,74,44,4,1.58,28,527,8,61,15,25,15,2,0,126,0
CUST00086,31,101524.0,78.0,77,906.11,4245.24,14.33,76,128,42,41,8,1.13,296,28981,13,5,27,29,27,13,4,92,0
CUST00087,40,30219.0,20.0,10,139.62,49630.57,15.21,109,56,59,49,8,2.88,134,35764,10,65,71,33,3,14,3,20,1
CUST00088,57,18235.0,18.0,14,347.87,7978.84,4.57,39,22,39,3,12,4.82,27,36235,4,75,9,45,27,12,7,198,1
CUST00089,38,60929.0,93.0,82,346.06,49423.37,9.8,89,89,64,7,0,1.46,38,47540,2,3,9,68,11,8,2,188,1
CUST00090,33,145309.0,60.0,51,529.78,48868.54,15.62,112,19,28,23,4,4.79,196,33471,13,22,9,4,15,1,9,75,1
CUST00091,62,85444.0,63.0,73,1176.84,39732.14,24.26,47,26,73,10,8,3.93,203,662,8,12,72,60,35,18,0,163,0
CUST00092,35,119834.0,6.0,39,99.65,33039.26,18.33,137,23,91,16,6,3.55,85,24940,8,30,27,37,19,15,13,151,1
CUST00093,64,102555.0,32.0,28,632.07,28974.79,23.1,128,47,94,49,5,3.58,320,41882,14,15,23,27,25,10,12,159,1
CUST00094,41,91698.0,93.0,3,231.65,43331.86,19.17,77,13,18,20,5,4.31,30,6256,12,40,18,25,25,11,9,90,1
CUST00095,43,142450.0,43.0,84,1165.4,14614.09,15.0,15,66,2,25,10,1.43,99,28432,11,0,67,60,21,0,4,186,0
CUST00096,42,61925.0,2.0,70,153.7,23490.52,5.2,36,144,35,42,6,3.02,190,8367,6,11,55,22,8,1,13,95,1
CUST00097,62,105388.0,60.0,27,496.25,31045.62,16.83,63,73,42,47,0,3.79,12,46228,14,55,66,45,4,15,14,95,1
CUST00098,58,26007.0,23.0,2,890.7,20677.29,15.77,69,77,14,43,3,3.35,91,38065,8,49,41,29,16,1,0,74,1
CUST00099,46,76596.0,83.0,93,851.37,21488.83,15.26,74,31,96,44,12,4.33,30,25511,9,19,11,66,33,18,10,109,1
CUST00100,32,139101.0,31.0,38,518.82,16648.18,12.5,24,85,40,26,14,1.29,213,8573,13,65,17,32,1,9,4,81,0
CUST00101,62,106861.0,5.0,3,428.9,28298.74,13.45,49,59,89,15,0,3.76,38,15582,1,35,22,2,6,18,8,127,1
CUST00102,18,104740.0,48.0,16,489.18,42558.61,8.69,146,41,79,25,5,3.14,341,5378,9,78,5,68,35,9,4,102,0
CUST00103,42,33524.0,34.0,94,331.85,10236.11,13.22,7,112,35,32,13,2.52,60,13500,2,37,52,41,12,15,1,132,1
CUST00104,24,149149.0,10.0,40,262.29,46734.77,5.34,4,96,96,30,12,2.36,294,305,14,21,41,61,19,12,12,143,1
CUST00105,26,143501.0,89.0,2,589.99,34516.57,20.23,90,122,83,47,3,3.48,360,21881,13,60,65,57,29,15,14,138,0
CUST00106,41,38611.0,2.0,81,336.87,41199.01,5.05,60,105,76,46,0,4.56,143,4697,1,49,29,56,29,17,1,34,1
CUST00107,18,32060.0,11.0,41,359.2,27898.3,2.58,55,74,32,5,8,2.98,180,7222,8,58,8,0,10,7,9,111,1
CUST00108,61,61303.0,50.0,12,794.97,39019.93,11.19,16,132,4,43,11,4.3,285,7933,8,19,41,72,30,17,8,169,1
CUST00109,25,57711.0,31.0,35,1162.87,1006.78,16.63,29,99,77,7,3,2.61,112,17849,11,35,33,59,2,12,11,86,0
CUST00110,41,91340.0,56.0,65,732.29,40955.35,11.22,14,126,90,6,11,1.41,230,24236,4,14,39,68,1,6,13,118,0
CUST00111,28,120974.0,79.0,55,110.84,2198.92,7.28,79,138,86,33,5,1.25,21,44231,8,61,16,58,2,17,4,97,1
CUST00112,68,85728.0,73.0,45,109.19,44517.69,14.18,33,75,13,43,12,1.21,145,33170,7,2,28,45,14,5,10,80,1
CUST00113,34,29246.0,87.0,79,1142.68,49599.74,9.0,21,14,67,13,6,2.52,146,12901,13,4,49,33,16,8,7,137,0
CUST00114,25,145796.0,83.0,90,370.8,14844.56,23.36,145,38,82,15,7,2.35,316,6940,2,55,75,24,6,5,9,81,0
CUST00115,52,110263.0,9.0,85,128.64,10673.86,23.1,23,140,46,42,11,3.87,166,48790,5,30,48,41,4,17,3,135,1
CUST00116,52,29302.0,99.0,62,726.87,38315.1,12.81,57,45,53,8,12,3.97,140,19054,14,34,72,28,33,16,1,25,0
CUST00117,50,85506.0,21.0,49,755.91,12800.71,8.53,142,145,3,9,10,1.2,203,40863,10,70,60,24,32,11,3,2,0
CUST00118,22,59157.0,73.0,95,785.24,43305.01,18.56,93,75,93,16,8,1.88,244,43610,4,69,45,53,15,2,11,58,0
CUST00119,59,85688.5,28.0,25,335.53,5321.56,1.4,20,29,82,11,8,2.1,113,4544,3,25,45,72,36,4,10,115,0
CUST00120,56,114646.0,62.0,23,37.83,6472.57,12.13,19,18,94,5,7,3.19,201,25318,1,0,16,66,2,6,3,130,1
CUST00121,58,101122.0,7.0,24,1158.72,48961.75,8.74,103,20,94,18,9,1.58,314,6074,5,6,65,14,20,9,10,165,0
CUST00122,45,42519.0,80.0,38,316.05,33757.18,23.05,77,14,8,42,10,1.54,259,39618,10,35,4,3,7,9,8,129,1
CUST00123,24,98910.0,16.0,28,817.71,42374.98,0.79,33,54,52,40,14,4.78,255,33518,8,75,53,37,21,18,9,144,1
CUST00124,26,138430.0,97.0,21,853.82,16351.6,14.04,18,31,76,28,11,4.22,23,25444,12,24,15,19,4,3,10,35,1
CUST00125,25,89324.0,4.0,54,739.81,33888.89,18.65,73,58,77,5,11,1.72,246,20446,9,58,6,22,16,9,5,85,0
CUST00126,29,23408.0,4.0,18,389.23,29793.24,12.38,17,104,59,24,14,2.63,339,28543,7,60,7,36,36,17,14,97,1
CUST00127,51,77379.0,40.0,36,339.89,30236.88,2.59,19,128,45,23,13,2.42,311,24789,12,28,71,61,13,2,9,123,1
CUST00128,50,43053.0,17.0,99,725.25,34190.12,24.33,70,25,53,24,2,4.16,318,1617,11,17,37,7,38,2,14,72,0
CUST00129,65,149994.0,52.0,45,1041.99,28852.89,13.19,120,19,73,15,11,3.04,87,35298,1,40,53,36,27,4,5,109,0
CUST00130,40,116723.0,93.0,73,1137.15,21567.31,15.55,101,136,94,15,1,1.51,219,3333,1,18,75,44,30,15,4,121,0
CUST00131,41,69356.0,52.0,53,144.97,13940.95,6.3,34,3,36,5,4,3.96,356,40002,1,3,14,32,16,19,5,129,1
CUST00132,54,28789.0,36.0,30,202.7,38475.35,12.35,84,86,22,36,0,2.59,27,22152,2,64,49,6,34,12,0,161,1
CUST00133,52,115720.0,38.0,60,1134.79,11468.37,11.01,74,145,26,20,2,2.05,290,24091,1,40,55,21,39,10,12,26,0
CUST00134,61,84656.0,50.0,98,889.11,34679.24,2.33,88,142,69,3,0,2.5,289,511,4,14,8,4,21,12,4,164,0
CUST00135,57,62028.0,63.0,32,1061.93,11819.97,3.1,85,9,89,33,12,2.99,348,47314,10,53,7,14,28,18,11,198,1
CUST00136,39,82484.0,63.0,67,259.11,31341.44,21.02,11,94,65,27,2,2.37,223,37850,9,63,18,20,9,5,5,149,1
CUST00137,44,50154.0,62.0,67,713.35,37404.5,6.38,91,149,60,37,12,1.97,352,16636,12,71,50,16,17,12,7,67,0
CUST00138,52,20336.0,99.0,28,847.34,11091.95,5.28,144,139,76,40,3,2.59,178,20517,4,14,71,55,34,3,3,13,0
CUST00139,18,121677.0,7.0,44,822.53,3185.18,12.87,127,20,50,27,6,2.99,148,31786,13,78,56,49,15,4,13,97,0
CUST00140,52,85779.0,27.0,79,501.62,6722.49,19.33,113,35,49,16,11,4.09,227,8820,4,49,67,6,6,18,4,22,0
CUST00141,54,37029.0,92.0,41,38.17,30378.65,2.02,80,53,18,13,14,1.68,351,36244,7,21,30,49,29,4,3,171,1
CUST00142,64,77201.0,86.0,63,707.85,42502.43,14.63,7,110,0,6,11,1.18,186,9178,14,17,2,59,18,13,6,192,1
CUST00143,31,50265.0,14.0,23,318.66,2440.84,3.42,16,136,39,21,4,3.61,294,1725,11,79,42,6,22,3,9,114,0
CUST00144,20,120916.0,71.0,75,551.3,36760.73,1.39,16,4,31,0,4,4.1,41,18477,9,1,28,39,7,11,5,111,1
CUST00145,18,64197.0,86.0,48,1149.95,17197.67,1.79,12,102,21,28,12,4.26,191,46533,7,35,9,44,16,5,13,95,1
CUST00146,22,143733.0,5.0,32,490.86,24030.71,20.94,35,47,92,30,0,2.97,79,34469,1,19,11,58,20,18,3,77,1
CUST00147,43,89907.0,55.0,57,1010.97,46457.21,3.39,21,94,65,29,7,1.82,205,8496,1,15,45,74,25,9,5,60,0
CUST00148,31,146876.0,2.0,33,242.48,16732.18,1.61,17,48,39,14,12,3.95,278,12270,4,66,29,54,27,0,12,84,1
CUST00149,56,82435.0,62.0,24,813.5,23373.78,11.23,32,91,37,17,3,3.8,272,10472,4,29,31,63,38,15,3,182,0
CUST00150,44,58631.0,91.0,39,1172.87,881.38,21.18,41,84,47,34,9,1.99,32,20724,1,54,72,64,32,3,11,70,0
CUST00151,26,147038.0,21.0,34,140.23,4263.62,6.93,134,68,54,49,4,4.61,142,30416,6,65,46,53,39,8,7,84,1
CUST00152,32,38103.0,79.0,56,29.82,13077.86,10.83,27,139,74,29,1,1.42,251,35575,10,25,62,39,18,17,10,49,1
CUST00153,32,82772.0,21.0,28,531.63,1587.04,1.48,148,125,80,33,14,4.93,294,15654,2,56,25,52,28,16,14,139,1
CUST00154,43,144108.0,10.0,37,129.3,31642.49,11.5,66,73,54,41,11,4.44,98,11078,11,68,2,43,19,14,14,14,1
CUST00155,59,32382.0,87.0,7,903.09,21434.64,14.65,137,4,50,10,12,3.75,136,28030,5,1,22,62,19,18,2,144,1
CUST00156,30,102291.0,58.0,68,1099.17,27497.63,14.49,92,76,59,26,0,4.75,277,7572,8,55,74,1,9,6,7,33,0
CUST00157,68,119195.0,39.0,37,532.14,8897.43,8.64,61,73,7,23,8,3.89,312,17408,3,61,73,78,11,17,12,34,0
CUST00158,49,38609.0,5.0,56,325.28,14937.42,8.23,3,77,85,34,14,1.76,302,19359,9,33,49,20,32,5,1,38,0
CUST00159,56,93683.0,65.0,65,532.6,33258.46,3.11,103,48,67,38,1,2.77,43,8698,7,55,35,49,24,18,5,182,1
CUST00160,66,142714.0,13.0,65,873.67,48272.08,9.49,55,102,74,7,5,1.29,120,4856,9,54,12,51,24,11,7,186,0
CUST00161,69,148330.0,85.0,47,30.68,2710.76,2.94,1,106,71,17,0,2.56,220,27527,1,19,28,8,3,2,0,132,1
CUST00162,49,89315.0,90.0,20,715.56,44541.14,19.28,101,77,8,12,0,3.97,46,39492,5,49,37,19,3,0,5,29,1
CUST00163,21,95834.0,85.0,19,743.68,28928.68,24.17,45,39,89,44,8,2.55,236,9245,12,24,76,17,8,4,8,131,0
CUST00164,47,144205.0,53.0,29,772.47,28283.19,24.27,26,58,1,23,3,2.32,48,43634,13,24,4,29,14,0,14,142,1
CUST00165,54,32153.0,82.0,74,305.59,25113.87,21.69,121,19,79,22,8,3.38,198,42864,3,52,19,64,25,7,12,102,1
CUST00166,40,94325.0,45.0,60,862.58,3655.83,15.22,142,88,94,11,10,4.49,84,28946,4,13,77,23,14,6,9,162,0
CUST00167,56,73318.0,32.0,18,127.84,4675.87,17.67,46,113,69,48,4,1.19,31,37355,4,59,13,46,25,14,9,73,1
CUST00168,62,149886.0,36.0,92,255.14,30125.42,7.49,122,77,84,29,6,2.54,161,37690,11,42,7,43,27,10,1,54,1
CUST00169,32,133033.0,81.0,35,1055.41,17179.74,15.95,31,77,89,30,0,1.63,71,37814,12,61,47,28,6,17,10,193,0
CUST00170,60,94077.0,99.0,43,891.69,45879.95,11.66,59,28,58,27,5,3.78,8,31645,7,75,12,76,31,13,12,59,1
CUST00171,46,108474.0,60.0,95,36.22,20448.21,12.31,29,66,18,21,7,1.42,52,19278,10,68,23,67,11,8,0,23,1
CUST00172,53,91319.0,11.0,91,313.08,7335.42,19.07,106,10,27,43,13,3.66,45,7203,11,62,78,16,34,4,1,21,0
CUST00173,30,143885.0,63.0,11,273.0,35793.0,7.41,17,126,71,27,0,2.14,293,48171,8,1,64,4,31,3,4,171,1
CUST00174,49,127777.0,21.0,49,339.55,14809.0,8.29,142,58,13,12,8,1.8,300,21658,11,53,33,49,8,11,5,31,0
CUST00175,24,35368.0,52.0,38,312.12,26368.42,23.15,24,142,23,24,2,4.75,38,42596,10,15,50,39,13,0,0,94,1
CUST00176,68,109751.0,55.0,64,93.78,34952.07,1.88,109,125,43,43,0,1.07,355,15797,5,54,2,45,12,12,6,82,1
CUST00177,39,45306.0,26.0,69,561.55,45033.15,12.4,91,112,55,45,0,2.75,231,32806,13,42,77,50,32,0,10,178,1
CUST00178,45,55219.0,68.0,8,884.63,39651.12,22.86,25,84,89,6,12,1.09,262,30958,13,60,57,10,31,2,3,2,0
CUST00179,19,78279.0,34.0,34,735.94,33882.78,15.45,32,143,94,44,13,2.93,68,6265,12,37,71,11,18,7,8,69,0
CUST00180,59,71028.0,52.0,48,813.99,34045.73,13.89,116,96,50,5,10,3.0,179,6598,10,44,54,12,29,17,14,159,0
CUST00181,62,122263.0,82.0,56,115.76,47307.05,6.62,82,33,31,23,5,2.29,357,35183,7,50,79,63,15,15,14,129,1
CUST00182,23,18126.0,99.0,76,1142.76,14932.04,8.91,110,145,49,18,10,1.53,186,17142,3,41,41,7,11,19,14,87,0
CUST00183,45,70329.0,48.0,65,1009.42,255.38,21.38,146,141,40,18,5,2.51,201,49916,3,23,20,64,9,19,5,108,0
CUST00184,45,45632.0,52.0,31,970.01,13743.34,14.2,37,47,65,35,0,3.69,13,26998,3,29,9,8,1,15,8,58,1
CUST00185,61,127945.0,29.0,4,991.12,11050.99,13.11,26,112,24,8,13,2.99,214,25890,12,36,56,1,17,1,0,76,0
CUST00186,61,73176.0,38.0,50,1120.6,33159.36,2.94,137,144,60,47,13,3.12,220,28878,4,52,24,77,12,16,3,13,1
CUST00187,37,52560.0,42.0,69,662.22,31758.84,0.89,64,43,65,35,2,3.36,286,14306,6,62,55,12,28,9,1,50,0
CUST00188,47,94589.0,21.0,30,256.33,29754.38,24.11,72,8,41,37,6,1.8,244,47345,5,10,37,1,23,6,5,138,1
CUST00189,28,40116.0,42.0,88,747.8,1008.92,9.74,148,3,64,39,9,2.15,356,11885,8,77,60,67,37,9,14,77,0
CUST00190,45,142085.0,13.0,59,896.6,36493.15,15.28,106,125,35,28,2,1.65,258,44145,14,22,46,75,11,18,3,79,0
CUST00191,42,135718.0,64.0,67,890.74,16311.81,2.45,86,12,75,23,2,2.0,58,43826,14,79,53,47,28,19,8,9,0
CUST00192,56,37256.0,17.0,75,635.31,33319.79,17.24,53,84,8,47,2,1.9,36,7443,12,49,45,73,21,8,13,79,1
CUST00193,50,118158.0,9.0,45,100.78,27917.61,23.35,92,16,35,4,11,3.08,328,31839,13,54,67,2,35,16,2,123,0
CUST00194,18,137719.0,41.0,4,457.91,17268.0,14.6,99,78,91,41,6,3.25,193,17084,5,54,3,67,0,8,0,185,1
CUST00195,44,86244.0,1.0,26,1106.5,6901.9,3.59,11,59,37,44,3,4.78,333,23911,11,3,65,5,39,8,10,33,0
CUST00196,69,74264.0,2.0,27,709.65,4902.06,14.75,31,63,32,25,3,1.78,50,4383,12,53,42,4,33,4,12,120,0
