Order_ID,Order_Date,Category,Segment,Region,Quantity,Sales,Discount,Profit,Profit_Margin,Discount_Amount,Sales_per_Quantity
10053,2024-02-22,Office Supplies,Corporate,Central,5.0,580.24,0.45,100.63,0.17342823659175513,261.108,116.048
10054,2024-02-23,Furniture,Consumer,South,1.0,376.8,0.41,-37.77,-0.10023885350318472,154.488,376.8
10055,2024-02-24,Office Supplies,Home Office,East,8.0,333.96,0.38,-44.75,-0.1339980836028267,126.9048,41.745
10056,2024-02-25,Technology,Consumer,South,3.0,254.16,0.03,75.6,0.29745042492917845,7.6248,84.72
10057,2024-02-26,Technology,Consumer,West,6.0,952.5,0.0,-43.12,-0.04527034120734908,0.0,158.75
10058,2024-02-27,Furniture,Consumer,East,3.0,1182.92,0.11,-148.78,-0.1257735096202617,130.12120000000002,394.3066666666667
10059,2024-02-28,Technology,Consumer,West,7.0,888.53,0.33,-57.36,-0.06455606451104634,293.2149,126.93285714285715
10060,2024-02-29,Technology,Home Office,South,7.0,263.1,0.21,-34.85,-0.1324591410110224,55.251000000000005,37.58571428571429
10061,2024-03-01,Office Supplies,Home Office,South,9.0,1226.13,0.2,32.27,0.02631857959596454,245.22600000000003,136.23666666666668
10062,2024-03-02,Furniture,Corporate,West,5.0,972.13,0.44,205.2,0.21108287986174687,427.7372,194.426
10063,2024-03-03,Office Supplies,Home Office,Central,8.0,612.84,0.45,2.18,0.0035572090594608707,275.778,76.605
10064,2024-03-04,Office Supplies,Home Office,West,8.0,1027.49,0.45,51.25,0.049878830937527374,462.3705,128.43625
10065,2024-03-05,Office Supplies,Corporate,South,1.0,426.86,0.16,65.74,0.15400833997095065,68.2976,426.86
10066,2024-03-06,Office Supplies,Home Office,West,5.0,550.53,0.35,43.49,0.07899660327320945,192.6855,110.106
10067,2024-03-07,Office Supplies,Consumer,Central,3.0,1380.35,0.14,328.04,0.23764987140942517,193.249,460.1166666666666
10068,2024-03-08,Office Supplies,Consumer,West,1.0,471.23,0.1,112.96,0.2397130912717781,47.123000000000005,471.23
10069,2024-03-09,Office Supplies,Corporate,Central,4.0,731.48,0.09,-106.46,-0.14554054793022364,65.8332,182.87
10070,2024-03-10,Furniture,Corporate,Central,8.0,1340.7,0.17,268.3,0.2001193406429477,227.919,167.5875
10071,2024-03-11,Technology,Corporate,West,3.0,1076.2,0.21,61.7,0.05733135104999071,226.002,358.73333333333335
10072,2024-03-12,Office Supplies,Consumer,West,2.0,140.19,0.42,41.35,0.29495684428275915,58.879799999999996,70.095
10073,2024-03-13,Office Supplies,Home Office,East,9.0,263.59,0.06,17.78,0.06745324177700217,15.815399999999999,29.287777777777777
10074,2024-03-14,Office Supplies,Consumer,South,5.0,61.37,0.37,18.05,0.29411764705882354,22.706899999999997,12.274
10075,2024-03-15,Office Supplies,Corporate,Central,7.0,964.84,0.27,182.89,0.189554744828158,260.5068,137.83428571428573
10076,2024-03-16,Office Supplies,Home Office,East,2.0,699.13,0.14,-26.66,-0.03813310829173401,97.8782,349.565
10077,2024-03-17,Office Supplies,Home Office,West,9.0,244.7,0.25,22.58,0.09227625664078463,61.175,27.188888888888886
10078,2024-03-18,Technology,Consumer,South,9.0,1439.0,0.15,328.96999999999997,0.22861014593467685,215.85,159.88888888888889
10079,2024-03-19,Technology,Corporate,East,4.0,818.01,0.3,192.96,0.2358895368027286,245.403,204.5025
10080,2024-03-20,Office Supplies,Consumer,Central,4.0,400.75,0.22,-42.55,-0.10617592014971927,88.165,100.1875
10081,2024-03-21,Technology,Home Office,East,6.0,775.88,0.08,130.24,0.16786100943444865,62.0704,129.31333333333333
10082,2024-03-22,Furniture,Consumer,Central,6.0,1035.45,0.06,5.71,0.005514510599256362,62.127,172.57500000000002
10083,2024-03-23,Office Supplies,Consumer,West,1.0,160.55,0.27,-23.58,-0.1468701339146683,43.34850000000001,160.55
10084,2024-03-24,Furniture,Corporate,South,9.0,448.32,0.45,14.15,0.03156227694503926,201.744,49.81333333333333
10085,2024-03-25,Furniture,Corporate,South,2.0,1220.1,0.17,-54.12,-0.04435701991640029,207.417,610.05
10086,2024-03-26,Office Supplies,Home Office,South,5.0,716.51,0.37,156.55,0.21848962331300334,265.1087,143.302
10087,2024-03-27,Technology,Consumer,West,9.0,842.54,0.33,1.52,0.001804068649559665,278.0382,93.61555555555555
10088,2024-03-28,Furniture,Consumer,Central,4.0,775.7,0.47,150.68,0.19425035451849942,364.579,193.925
10089,2024-03-29,Office Supplies,Consumer,West,3.0,113.65,0.41,-17.02,-0.1497580290365156,46.5965,37.88333333333333
10090,2024-03-30,Furniture,Home Office,South,7.0,290.34,0.28,-3.33,-0.011469311841289524,81.2952,41.47714285714285
10091,2024-03-31,Furniture,Home Office,West,6.0,696.04,0.33,-28.87,-0.04147750129302914,229.6932,116.00666666666666
10092,2024-04-01,Furniture,Corporate,West,8.0,353.32,0.45,-15.86,-0.04488848635797577,158.994,44.165
10093,2024-04-02,Furniture,Corporate,West,3.0,122.47,0.2,-14.61,-0.11929452110720992,24.494,40.82333333333333
10094,2024-04-03,Technology,Corporate,Central,5.0,1273.29,0.16,-83.77,-0.06579019704859065,203.7264,254.658
10095,2024-04-04,Furniture,Consumer,East,4.0,1472.73,0.01,147.27,0.09999796296673526,14.7273,368.1825
10096,2024-04-05,Furniture,Consumer,East,4.0,1200.06,0.41,-22.67,-0.01889072213056014,492.02459999999996,300.015
10097,2024-04-06,Furniture,Corporate,West,4.0,1287.99,0.4,48.72,0.03782638063960124,515.196,321.9975
10098,2024-04-07,Technology,Consumer,East,8.0,400.87,0.05,7.85,0.019582408262030084,20.0435,50.10875
10099,2024-04-08,Furniture,Corporate,East,6.0,1442.91,0.29,328.96999999999997,0.22799065776798272,418.4439,240.485
10100,2024-04-09,Furniture,Home Office,West,3.0,335.54,0.23,86.36,0.25737616975621386,77.17420000000001,111.84666666666668
10101,2024-04-10,Technology,Corporate,West,5.0,1429.57,0.06,102.69,0.07183278888057248,85.7742,285.914
10102,2024-04-11,Technology,Home Office,South,5.0,1492.49,0.49,-2.13,-0.0014271452405041239,731.3201,298.498
10103,2024-04-12,Technology,Consumer,East,5.0,1082.0,0.11,-110.3,-0.10194085027726432,119.02,216.4
10104,2024-04-13,Furniture,Corporate,Central,6.0,1472.66,0.03,328.96999999999997,0.2233848953594176,44.1798,245.44333333333336
10105,2024-04-14,Technology,Consumer,West,8.0,875.83,0.3,-107.64,-0.12290056289462567,262.749,109.47875
10106,2024-04-15,Technology,Home Office,South,7.0,426.34,0.37,-6.85,-0.016066988788291034,157.7458,60.90571428571428
10107,2024-04-16,Furniture,Home Office,Central,5.0,683.64,0.02,-10.85,-0.01587092621847756,13.6728,136.728
10108,2024-04-17,Technology,Home Office,East,6.0,910.66,0.33,-5.3,-0.005819954758087541,300.5178,151.77666666666667
10109,2024-04-18,Furniture,Consumer,South,4.0,155.97,0.27,-11.86,-0.07604026415336282,42.111900000000006,38.9925
10110,2024-04-19,Office Supplies,Consumer,West,9.0,952.4,0.05,192.79,0.2024254514909702,47.620000000000005,105.82222222222222
10111,2024-04-20,Technology,Consumer,Central,4.0,1472.71,0.09,-139.72,-0.0948727176429847,132.5439,368.1775
10112,2024-04-21,Office Supplies,Consumer,West,1.0,325.66,0.28,44.19,0.13569366824295276,91.18480000000001,325.66
10113,2024-04-22,Furniture,Home Office,East,7.0,1199.26,0.15,-113.05,-0.09426646431966379,179.88899999999998,171.32285714285715
10114,2024-04-23,Technology,Home Office,Central,7.0,1366.45,0.47,-161.59,-0.11825533316257456,642.2315,195.20714285714286
10115,2024-04-24,Furniture,Corporate,East,4.0,1418.37,0.41,328.96999999999997,0.23193524961751869,581.5316999999999,354.5925
10116,2024-04-25,Office Supplies,Corporate,East,3.0,1442.2,0.49,-92.94,-0.0644432117598114,706.678,480.73333333333335
10117,2024-04-26,Furniture,Consumer,South,8.0,806.12,0.13,176.99,0.21955788220116113,104.79560000000001,100.765
10118,2024-04-27,Technology,Home Office,West,5.0,1467.1,0.48,139.5,0.09508554290777725,704.208,293.41999999999996
10119,2024-04-28,Technology,Home Office,Central,7.0,1148.1,0.22,-131.99,-0.1149638533228813,252.582,164.0142857142857
10120,2024-04-29,Office Supplies,Home Office,East,4.0,284.42,0.17,79.62,0.2799381196821602,48.351400000000005,71.105
10121,2024-04-30,Furniture,Corporate,East,4.0,741.51,0.03,-28.82,-0.03886663699747812,22.2453,185.3775
10122,2024-05-01,Technology,Corporate,Central,8.0,1091.58,0.03,258.53,0.23684017662470913,32.7474,136.4475
10123,2024-05-02,Office Supplies,Home Office,East,8.0,408.64,0.35,-30.25,-0.0740260375880971,143.02399999999997,51.08
10124,2024-05-03,Technology,Home Office,South,2.0,978.89,0.23,30.005000000000003,0.03065206509413724,225.1447,489.445
10125,2024-05-04,Technology,Home Office,South,2.0,1016.57,0.11,-146.43,-0.14404320410793156,111.82270000000001,508.285
10126,2024-05-05,Furniture,Corporate,South,3.0,285.91,0.31,22.96,0.08030499108110943,88.63210000000001,95.30333333333334
10127,2024-05-06,Technology,Home Office,South,3.0,869.37,0.13,170.61,0.19624555712757516,113.0181,289.79
10128,2024-05-07,Furniture,Home Office,East,1.0,775.7,0.29,316.36,0.4078380817326286,224.953,775.7
10129,2024-05-08,Technology,Consumer,Central,3.0,773.4,0.18,200.42,0.2591414533229894,139.212,257.8
10130,2024-05-09,Office Supplies,Consumer,Central,6.0,67.55,0.41,14.78,0.21880088823094004,27.695499999999996,11.258333333333333
10131,2024-05-10,Technology,Corporate,Central,8.0,63.11,0.41,15.76,0.2497227063856758,25.8751,7.88875
10132,2024-05-11,Furniture,Home Office,Central,6.0,567.69,0.24,-34.26,-0.060349838820483004,136.2456,94.61500000000001
10133,2024-05-12,Furniture,Home Office,West,5.0,1392.98,0.18,-30.81,-0.02211804907464572,250.7364,278.596
10134,2024-05-13,Office Supplies,Consumer,Central,4.0,381.58,0.18,-7.62,-0.019969600083861838,68.6844,95.395
10135,2024-05-14,Technology,Corporate,West,3.0,969.83,0.4,19.08,0.01967355103471742,387.932,323.2766666666667
10136,2024-05-15,Technology,Consumer,West,4.0,372.01,0.16,10.04,0.02698852181392973,59.5216,93.0025
10137,2024-05-16,Office Supplies,Consumer,South,7.0,516.42,0.1,49.09,0.09505828589132878,51.641999999999996,73.77428571428571
10138,2024-05-17,Technology,Consumer,West,1.0,1279.66,0.04,-99.88,-0.07805198255786693,51.186400000000006,1279.66
10139,2024-05-18,Technology,Consumer,East,7.0,1106.85,0.23,178.27,0.16106066766047797,254.57549999999998,158.12142857142857
10140,2024-05-19,Furniture,Home Office,West,1.0,188.33,0.24,-14.05,-0.07460309032018266,45.199200000000005,188.33
10141,2024-05-20,Technology,Home Office,South,2.0,671.62,0.42,-6.96,-0.010363002888538161,282.0804,335.81
10142,2024-05-21,Technology,Consumer,West,4.0,92.3,0.11,7.06,0.07648970747562296,10.153,23.075
10143,2024-05-22,Office Supplies,Corporate,East,1.0,747.29,0.19,155.73,0.20839299334930214,141.9851,747.29
10144,2024-05-23,Office Supplies,Corporate,East,9.0,1010.53,0.4,184.69,0.18276547950085598,404.212,112.2811111111111
10145,2024-05-24,Furniture,Corporate,East,6.0,221.83,0.41,31.16,0.14046792588919443,90.9503,36.97166666666667
10146,2024-05-25,Technology,Corporate,South,1.0,468.88,0.19,-37.46,-0.07989250981061252,89.0872,468.88
10147,2024-05-26,Technology,Consumer,South,1.0,626.86,0.23,60.29,0.09617777494177328,144.17780000000002,626.86
10148,2024-05-27,Technology,Home Office,Central,6.0,1383.32,0.15,-153.06,-0.110646849608189,207.498,230.5533333333333
10149,2024-05-28,Furniture,Corporate,South,4.0,1490.22,0.47,29.53,0.019815866113728174,700.4033999999999,372.555
10150,2024-05-29,Furniture,Consumer,East,4.0,115.12,0.06,4.15,0.03604933981931897,6.9072000000000005,28.78
10151,2024-05-30,Office Supplies,Corporate,East,6.0,1153.46,0.47,-152.35,-0.13208086973107,542.1262,192.24333333333334
10152,2024-05-31,Furniture,Corporate,South,7.0,589.0,0.34,-15.73,-0.0267062818336163,200.26000000000002,84.14285714285714
10153,2024-06-01,Technology,Consumer,West,9.0,619.06,0.27,173.36,0.2800374761735535,167.1462,68.78444444444443
10154,2024-06-02,Technology,Home Office,South,5.0,1143.68,0.02,319.24,0.27913402350307776,22.873600000000003,228.73600000000002
10155,2024-06-03,Furniture,Home Office,South,9.0,1381.72,0.24,11.81,0.008547317835740961,331.6128,153.52444444444444
10156,2024-06-04,Technology,Consumer,East,4.0,1428.85,0.2,-186.61,-0.1306015327011233,285.77,357.2125
10157,2024-06-05,Technology,Home Office,Central,2.0,886.83,0.08,-61.55,-0.06940450819209995,70.94640000000001,443.415
10158,2024-06-06,Furniture,Consumer,East,3.0,567.83,0.33,15.05,0.026504411531620378,187.3839,189.27666666666667
10159,2024-06-07,Furniture,Consumer,Central,1.0,1191.95,0.49,328.96999999999997,0.27599312051680014,584.0555,1191.95
10160,2024-06-08,Technology,Consumer,East,6.0,413.95,0.28,-35.79,-0.08645971735716874,115.906,68.99166666666666
10161,2024-06-09,Technology,Home Office,South,6.0,867.91,0.36,168.01,0.19357997949096103,312.44759999999997,144.65166666666667
10162,2024-06-10,Technology,Consumer,East,1.0,569.94,0.03,-57.62,-0.10109836123100675,17.098200000000002,569.94
10163,2024-06-11,Office Supplies,Corporate,East,3.0,1002.12,0.21,292.18,0.291561888795753,210.4452,334.04
10164,2024-06-12,Office Supplies,Home Office,East,5.0,398.58,0.06,8.66,0.021727131316172415,23.9148,79.716
10165,2024-06-13,Office Supplies,Home Office,South,3.0,327.81,0.31,65.19,0.19886519630273633,101.6211,109.27
10166,2024-06-14,Furniture,Home Office,South,3.0,1381.45,0.47,5.76,0.004169532013464114,649.2814999999999,460.48333333333335
10167,2024-06-15,Office Supplies,Home Office,South,3.0,197.62,0.33,26.17,0.132425867827143,65.2146,65.87333333333333
10168,2024-06-16,Furniture,Corporate,South,5.0,783.64,0.04,-49.83,-0.06358787198203257,31.3456,156.728
10169,2024-06-17,Furniture,Home Office,Central,5.0,370.24,0.18,-31.21,-0.0842966724286949,66.6432,74.048
10170,2024-06-18,Office Supplies,Home Office,Central,4.0,106.45,0.28,28.97,0.27214654767496477,29.806000000000004,26.6125
10171,2024-06-19,Office Supplies,Consumer,West,1.0,102.23,0.2,26.88,0.2629365156998924,20.446,102.23
10172,2024-06-20,Office Supplies,Home Office,South,5.0,304.07,0.42,75.82,0.24935047850823822,127.70939999999999,60.814
10173,2024-06-21,Technology,Corporate,Central,5.0,1306.82,0.41,171.78,0.13144886059288963,535.7961999999999,261.364
10174,2024-06-22,Office Supplies,Corporate,East,4.0,459.59,0.31,98.22,0.2137122217628756,142.47289999999998,114.8975
10175,2024-06-23,Technology,Corporate,South,6.0,1428.17,0.19,-169.86,-0.11893542085325977,271.3523,238.02833333333334
10176,2024-06-24,Furniture,Corporate,West,4.0,893.35,0.13,0.59,0.0006604354396373202,116.13550000000001,223.3375
10177,2024-06-25,Technology,Home Office,West,7.0,683.09,0.05,-6.03,-0.008827533707124977,34.154500000000006,97.58428571428571
10178,2024-06-26,Office Supplies,Home Office,West,7.0,891.13,0.18,121.23,0.1360407572408066,160.4034,127.30428571428571
10179,2024-06-27,Furniture,Corporate,East,2.0,775.7,0.21,8.14,0.010493747582828413,162.897,387.85
10180,2024-06-28,Furniture,Corporate,Central,3.0,1150.23,0.34,-95.67,-0.0831746694139433,391.07820000000004,383.41
10181,2024-06-29,Furniture,Home Office,East,1.0,459.62,0.33,54.42,0.11840215830468648,151.6746,459.62
10182,2024-06-30,Technology,Corporate,South,8.0,561.92,0.04,121.64,0.2164720956719818,22.476799999999997,70.24
10183,2024-07-01,Office Supplies,Consumer,West,9.0,1346.44,0.2,29.56,0.021954190309259974,269.288,149.60444444444445
10184,2024-07-02,Furniture,Corporate,East,4.0,1422.36,0.09,-128.69,-0.09047639134958801,128.01239999999999,355.59
10185,2024-07-03,Furniture,Corporate,East,6.0,1344.21,0.08,-82.66,-0.06149336785174935,107.5368,224.035
10186,2024-07-04,Furniture,Consumer,Central,9.0,658.2,0.41,-28.39,-0.04313278638711637,269.862,73.13333333333334
10187,2024-07-05,Technology,Consumer,Central,6.0,1181.53,0.02,-17.78,-0.015048284850998283,23.6306,196.92166666666665
10188,2024-07-06,Technology,Home Office,West,9.0,740.69,0.21,103.15,0.1392620394497023,155.5449,82.2988888888889
10189,2024-07-07,Office Supplies,Home Office,East,4.0,771.43,0.08,92.9,0.12042570291536499,61.7144,192.8575
10190,2024-07-08,Technology,Consumer,East,8.0,346.79,0.44,56.61,0.1632400011534358,152.5876,43.34875
10191,2024-07-09,Furniture,Consumer,Central,9.0,907.14,0.28,11.91,0.013129175210000663,253.99920000000003,100.79333333333334
10192,2024-07-10,Office Supplies,Home Office,East,4.0,319.9,0.12,70.63,0.22078774617067834,38.388,79.975
10193,2024-07-11,Furniture,Corporate,East,5.0,530.77,0.25,-30.87,-0.05816078527422425,132.6925,106.154
10194,2024-07-12,Furniture,Consumer,East,8.0,1289.79,0.37,78.77,0.06107195745043767,477.22229999999996,161.22375
10195,2024-07-13,Technology,Home Office,Central,6.0,350.26,0.48,73.7,0.21041512019642553,168.1248,58.376666666666665
10196,2024-07-14,Office Supplies,Corporate,West,7.0,153.18,0.11,-10.56,-0.06893850372111242,16.849800000000002,21.882857142857144
10197,2024-07-15,Technology,Consumer,South,3.0,150.06,0.44,-15.09,-0.10055977608956417,66.0264,50.02
10198,2024-07-16,Technology,Corporate,West,7.0,1414.14,0.47,328.96999999999997,0.23262901834330402,664.6458,202.02
10199,2024-07-17,Office Supplies,Home Office,South,8.0,785.03,0.46,3.39,0.004318306306765347,361.1138,98.12875
10200,2024-07-18,Furniture,Consumer,East,6.0,643.65,0.32,101.53,0.1577410083119708,205.968,107.27499999999999
10201,2024-07-19,Furniture,Corporate,West,9.0,1225.77,0.31,-169.88,-0.138590437031417,379.9887,136.19666666666666
10202,2024-07-20,Office Supplies,Consumer,South,6.0,1261.95,0.2,202.57,0.16052141527001862,252.39000000000001,210.32500000000002
10203,2024-07-21,Furniture,Corporate,Central,9.0,531.68,0.38,-4.12,-0.007749021968101114,202.0384,59.07555555555555
10204,2024-07-22,Office Supplies,Home Office,Central,4.0,1055.75,0.27,-131.88,-0.12491593653800616,285.0525,263.9375
10205,2024-07-23,Office Supplies,Home Office,West,8.0,1168.13,0.34,145.33,0.12441252257882256,397.16420000000005,146.01625
10206,2024-07-24,Technology,Consumer,West,4.0,999.24,0.21,-41.61,-0.04164164765221568,209.8404,249.81
10207,2024-07-25,Office Supplies,Corporate,East,2.0,269.81,0.37,6.49,0.02405396390052259,99.8297,134.905
10208,2024-07-26,Technology,Consumer,West,9.0,1320.03,0.41,-150.14,-0.11373983924607774,541.2122999999999,146.67
10209,2024-07-27,Furniture,Consumer,East,5.0,831.69,0.07,-69.68,-0.08378121655905446,58.218300000000006,166.33800000000002
10210,2024-07-28,Furniture,Corporate,East,4.0,459.59,0.42,-7.31,-0.015905480972170847,193.02779999999998,114.8975
10211,2024-07-29,Furniture,Corporate,Central,2.0,666.58,0.27,-73.06,-0.1096042485523118,179.97660000000002,333.29
10212,2024-07-30,Furniture,Corporate,Central,1.0,104.48,0.42,27.15,0.2598583460949464,43.8816,104.48
10213,2024-07-31,Technology,Home Office,South,7.0,235.41,0.22,-34.67,-0.14727496707871374,51.7902,33.63
10214,2024-08-01,Furniture,Consumer,Central,6.0,1160.04,0.19,78.58,0.06773904348125927,220.4076,193.34
10215,2024-08-02,Office Supplies,Consumer,Central,2.0,50.02,0.46,-4.73,-0.09456217512994802,23.009200000000003,25.01
10216,2024-08-03,Office Supplies,Home Office,West,8.0,654.02,0.13,-7.55,-0.011543989480444022,85.0226,81.7525
10217,2024-08-04,Office Supplies,Corporate,Central,4.0,807.64,0.42,215.42,0.2667277499876182,339.2088,201.91
10218,2024-08-05,Technology,Home Office,South,8.0,129.22,0.24,-9.98,-0.07723262652840118,31.0128,16.1525
10219,2024-08-06,Furniture,Home Office,West,7.0,1460.96,0.26,328.96999999999997,0.22517385828496328,379.8496,208.70857142857145
10220,2024-08-07,Furniture,Home Office,South,5.0,377.88,0.15,-21.69,-0.057399174341060656,56.681999999999995,75.576
10221,2024-08-08,Furniture,Consumer,Central,8.0,491.09,0.29,90.22,0.1837137795516097,142.41609999999997,61.38625
10222,2024-08-09,Technology,Home Office,South,9.0,490.72,0.16,47.11,0.09600179328333876,78.51520000000001,54.52444444444445
10223,2024-08-10,Office Supplies,Consumer,West,5.0,384.1,0.02,95.26,0.24800833116375945,7.682,76.82000000000001
10224,2024-08-11,Office Supplies,Consumer,East,5.0,52.14,0.14,5.18,0.09934790947449175,7.299600000000001,10.428
10225,2024-08-12,Furniture,Consumer,South,2.0,1107.55,0.0,100.29,0.09055121664936121,0.0,553.775
10226,2024-08-13,Office Supplies,Corporate,South,5.0,1451.93,0.49,-90.08,-0.062041558477337055,711.4457,290.386
10227,2024-08-14,Office Supplies,Consumer,West,3.0,375.23,0.48,-28.22,-0.07520720624683527,180.1104,125.07666666666667
10228,2024-08-15,Technology,Consumer,West,7.0,1011.42,0.2,265.42,0.2624231278796148,202.284,144.48857142857142
10229,2024-08-16,Technology,Corporate,South,5.0,1125.75,0.36,-2.78,-0.002469464801243615,405.27,225.15
10230,2024-08-17,Technology,Consumer,Central,8.0,1280.22,0.17,22.32,0.017434503444720438,217.6374,160.0275
