Order_ID,Order_Date,Category,Segment,Region,Quantity,Sales,Discount,Profit
10042,2024-02-11,Technology,Home Office,South,9.0,751.91,0.3,-56.0
10043,2024-02-12,Technology,Home Office,East,50.0,13605.48,0.08,-108.66
10044,2024-02-13,Furniture,Consumer,South,2.0,737.02,0.48,-88.13
10045,2024-02-14,Furniture,Corporate,South,2.0,133.87,0.22,23.54
10046,2024-02-15,Technology,Corporate,South,5.0,1438.8,0.25,385.55
10047,2024-02-16,Office Supplies,Corporate,West,4.0,1416.95,0.12,61.98
10048,2024-02-17,Furniture,Consumer,South,2.0,1188.52,0.24,-114.56
10049,2024-02-18,Office Supplies,Home Office,South,3.0,1487.43,0.33,119.85
10050,2024-02-19,Office Supplies,Corporate,South,7.0,839.5,0.38,5.85
10051,2024-02-20,Office Supplies,Corporate,West,8.0,1446.01,0.38,27.0
10052,2024-02-21,Furniture,Consumer,East,6.0,159.63,0.29,20.69
10053,2024-02-22,Office Supplies,Corporate,Central,5.0,580.24,0.45,100.63
10054,2024-02-23,Furniture,Consumer,South,1.0,376.8,0.41,-37.77
10055,2024-02-24,Office Supplies,Home Office,East,8.0,333.96,0.38,-44.75
10056,2024-02-25,Technology,Consumer,South,3.0,254.16,0.03,75.6
10057,2024-02-26,Technology,Consumer,West,6.0,952.5,0.0,-43.12
10058,2024-02-27,Furniture,Consumer,East,3.0,1182.92,0.11,-148.78
10059,2024-02-28,Technology,Consumer,West,7.0,888.53,0.33,-57.36
10060,2024-02-29,Technology,Home Office,South,7.0,263.1,0.21,-34.85
10061,2024-03-01,Office Supplies,Home Office,South,9.0,1226.13,0.2,32.27
10062,2024-03-02,Furniture,Corporate,West,5.0,972.13,0.44,205.2
10063,2024-03-03,Office Supplies,Home Office,Central,8.0,612.84,0.45,2.18
10064,2024-03-04,Office Supplies,Home Office,West,8.0,1027.49,0.45,51.25
10065,2024-03-05,Office Supplies,Corporate,South,1.0,426.86,0.16,65.74
10066,2024-03-06,Office Supplies,Home Office,West,5.0,550.53,0.35,43.49
10067,2024-03-07,Office Supplies,Consumer,Central,3.0,1380.35,0.14,328.04
10068,2024-03-08,Office Supplies,Consumer,West,1.0,471.23,0.1,112.96
10069,2024-03-09,Office Supplies,Corporate,Central,4.0,731.48,0.09,-106.46
10070,2024-03-10,Furniture,Corporate,Central,8.0,1340.7,0.17,268.3
10071,2024-03-11,Technology,Corporate,West,3.0,1076.2,0.21,61.7
10072,2024-03-12,Office Supplies,Consumer,West,2.0,140.19,0.42,41.35
10073,2024-03-13,Office Supplies,Home Office,East,9.0,263.59,0.06,17.78
10074,2024-03-14,Office Supplies,Consumer,South,5.0,61.37,0.37,18.05
10075,2024-03-15,Office Supplies,Corporate,Central,7.0,964.84,0.27,182.89
10076,2024-03-16,Office Supplies,Home Office,East,2.0,699.13,0.14,-26.66
10077,2024-03-17,Office Supplies,Home Office,West,9.0,244.7,0.25,22.58
10078,2024-03-18,Technology,Consumer,South,9.0,1439.0,0.15,426.61
10079,2024-03-19,Technology,Corporate,East,4.0,818.01,0.3,192.96
10080,2024-03-20,Office Supplies,Consumer,Central,4.0,400.75,0.22,-42.55
10081,2024-03-21,Technology,Home Office,East,6.0,775.88,0.08,130.24
10082,2024-03-22,Furniture,Consumer,Central,6.0,1035.45,0.06,5.71
10083,2024-03-23,Office Supplies,Consumer,West,1.0,160.55,0.27,-23.58
10084,2024-03-24,Furniture,Corporate,South,9.0,448.32,0.45,14.15
10085,2024-03-25,Furniture,Corporate,South,2.0,1220.1,0.17,-54.12
10086,2024-03-26,Office Supplies,Home Office,South,5.0,716.51,0.37,156.55
10087,2024-03-27,Technology,Consumer,West,9.0,842.54,0.33,1.52
10088,2024-03-28,Furniture,Consumer,Central,4.0,,0.47,150.68
10089,2024-03-29,Office Supplies,Consumer,West,3.0,113.65,0.41,-17.02
10090,2024-03-30,Furniture,Home Office,South,7.0,290.34,0.28,-3.33
10091,2024-03-31,Furniture,Home Office,West,6.0,696.04,0.33,-28.87
10092,2024-04-01,Furniture,Corporate,West,8.0,353.32,0.45,-15.86
10093,2024-04-02,Furniture,Corporate,West,3.0,122.47,0.2,-14.61
10094,2024-04-03,Technology,Corporate,Central,5.0,1273.29,0.16,-83.77
10095,2024-04-04,Furniture,Consumer,East,4.0,1472.73,0.01,147.27
10096,2024-04-05,Furniture,Consumer,East,4.0,1200.06,0.41,-22.67
10097,2024-04-06,Furniture,Corporate,West,4.0,1287.99,0.4,48.72
10098,2024-04-07,Technology,Consumer,East,8.0,400.87,0.05,7.85
10099,2024-04-08,Furniture,Corporate,East,6.0,1442.91,0.29,352.3
10100,2024-04-09,Furniture,Home Office,West,3.0,335.54,0.23,86.36
10101,2024-04-10,Technology,Corporate,West,5.0,1429.57,0.06,102.69
10102,2024-04-11,Technology,Home Office,South,,1492.49,0.49,-2.13
10103,2024-04-12,Technology,Consumer,East,5.0,1082.0,0.11,-110.3
10104,2024-04-13,Furniture,Corporate,Central,6.0,1472.66,0.03,410.92
10105,2024-04-14,Technology,Consumer,West,8.0,875.83,0.3,-107.64
10106,2024-04-15,Technology,Home Office,South,7.0,426.34,0.37,-6.85
10107,2024-04-16,Furniture,Home Office,Central,5.0,683.64,0.02,-10.85
10108,2024-04-17,Technology,Home Office,East,6.0,910.66,0.33,-5.3
10109,2024-04-18,Furniture,Consumer,South,4.0,155.97,0.27,-11.86
10110,2024-04-19,Office Supplies,Consumer,West,9.0,952.4,0.05,192.79
10111,2024-04-20,Technology,Consumer,Central,4.0,1472.71,0.09,-139.72
10112,2024-04-21,Office Supplies,Consumer,West,1.0,325.66,0.28,44.19
10113,2024-04-22,Furniture,Home Office,East,7.0,1199.26,0.15,-113.05
10114,2024-04-23,Technology,Home Office,Central,7.0,1366.45,0.47,-161.59
10115,2024-04-24,Furniture,Corporate,East,4.0,1418.37,0.41,367.7
10116,2024-04-25,Office Supplies,Corporate,East,3.0,1442.2,0.49,-92.94
10117,2024-04-26,Furniture,Consumer,South,8.0,806.12,0.13,176.99
10118,2024-04-27,Technology,Home Office,West,5.0,1467.1,0.48,139.5
10119,2024-04-28,Technology,Home Office,Central,7.0,1148.1,0.22,-131.99
10120,2024-04-29,Office Supplies,Home Office,East,4.0,284.42,0.17,79.62
10121,2024-04-30,Furniture,Corporate,East,4.0,741.51,0.03,-28.82
10122,2024-05-01,Technology,Corporate,Central,8.0,1091.58,0.03,258.53
10123,2024-05-02,Office Supplies,Home Office,East,8.0,408.64,0.35,-30.25
10124,2024-05-03,Technology,Home Office,South,2.0,978.89,0.23,
10125,2024-05-04,Technology,Home Office,South,2.0,1016.57,0.11,-146.43
10126,2024-05-05,Furniture,Corporate,South,3.0,285.91,0.31,22.96
10127,2024-05-06,Technology,Home Office,South,3.0,869.37,0.13,170.61
10128,2024-05-07,Furniture,Home Office,East,1.0,,0.29,316.36
10129,2024-05-08,Technology,Consumer,Central,3.0,773.4,0.18,200.42
10130,2024-05-09,Office Supplies,Consumer,Central,6.0,67.55,0.41,14.78
10131,2024-05-10,Technology,Corporate,Central,8.0,63.11,0.41,15.76
10132,2024-05-11,Furniture,Home Office,Central,6.0,567.69,0.24,-34.26
10133,2024-05-12,Furniture,Home Office,West,5.0,1392.98,0.18,-30.81
10134,2024-05-13,Office Supplies,Consumer,Central,4.0,381.58,0.18,-7.62
10135,2024-05-14,Technology,Corporate,West,3.0,969.83,0.4,19.08
10136,2024-05-15,Technology,Consumer,West,4.0,372.01,0.16,10.04
10137,2024-05-16,Office Supplies,Consumer,South,7.0,516.42,0.1,49.09
10138,2024-05-17,Technology,Consumer,West,1.0,1279.66,0.04,-99.88
10139,2024-05-18,Technology,Consumer,East,7.0,1106.85,0.23,178.27
10140,2024-05-19,Furniture,Home Office,West,1.0,188.33,0.24,-14.05
10141,2024-05-20,Technology,Home Office,South,2.0,671.62,0.42,-6.96
10142,2024-05-21,Technology,Consumer,West,4.0,92.3,0.11,7.06
10143,2024-05-22,Office Supplies,Corporate,East,1.0,747.29,0.19,155.73
10144,2024-05-23,Office Supplies,Corporate,East,9.0,1010.53,0.4,184.69
10145,2024-05-24,Furniture,Corporate,East,6.0,221.83,0.41,31.16
10146,2024-05-25,Technology,Corporate,South,1.0,468.88,0.19,-37.46
10147,2024-05-26,Technology,Consumer,South,1.0,626.86,0.23,60.29
10148,2024-05-27,Technology,Home Office,Central,6.0,1383.32,0.15,-153.06
10149,2024-05-28,Furniture,Corporate,South,4.0,1490.22,0.47,29.53
10150,2024-05-29,Furniture,Consumer,East,4.0,115.12,0.06,4.15
10151,2024-05-30,Office Supplies,Corporate,East,6.0,1153.46,0.47,-152.35
10152,2024-05-31,Furniture,Corporate,South,7.0,589.0,0.34,-15.73
10153,2024-06-01,Technology,Consumer,West,9.0,619.06,0.27,173.36
10154,2024-06-02,Technology,Home Office,South,5.0,1143.68,0.02,319.24
10155,2024-06-03,Furniture,Home Office,South,9.0,1381.72,0.24,11.81
10156,2024-06-04,Technology,Consumer,East,4.0,1428.85,0.2,-186.61
10157,2024-06-05,Technology,Home Office,Central,2.0,886.83,0.08,-61.55
10158,2024-06-06,Furniture,Consumer,East,3.0,567.83,0.33,15.05
10159,2024-06-07,Furniture,Consumer,Central,1.0,1191.95,0.49,329.58
10160,2024-06-08,Technology,Consumer,East,6.0,413.95,0.28,-35.79
10161,2024-06-09,Technology,Home Office,South,6.0,867.91,0.36,168.01
10162,2024-06-10,Technology,Consumer,East,1.0,569.94,0.03,-57.62
10163,2024-06-11,Office Supplies,Corporate,East,3.0,1002.12,0.21,292.18
10164,2024-06-12,Office Supplies,Home Office,East,5.0,398.58,0.06,8.66
10165,2024-06-13,Office Supplies,Home Office,South,3.0,327.81,0.31,65.19
10166,2024-06-14,Furniture,Home Office,South,3.0,1381.45,0.47,5.76
10167,2024-06-15,Office Supplies,Home Office,South,3.0,197.62,0.33,26.17
10168,2024-06-16,Furniture,Corporate,South,5.0,783.64,0.04,-49.83
10169,2024-06-17,Furniture,Home Office,Central,5.0,370.24,0.18,-31.21
10170,2024-06-18,Office Supplies,Home Office,Central,4.0,106.45,0.28,28.97
10171,2024-06-19,Office Supplies,Consumer,West,1.0,102.23,0.2,26.88
10172,2024-06-20,Office Supplies,Home Office,South,5.0,304.07,0.42,75.82
10173,2024-06-21,Technology,Corporate,Central,5.0,1306.82,0.41,171.78
10174,2024-06-22,Office Supplies,Corporate,East,4.0,459.59,0.31,98.22
10175,2024-06-23,Technology,Corporate,South,6.0,1428.17,0.19,-169.86
10176,2024-06-24,Furniture,Corporate,West,4.0,893.35,0.13,0.59
10177,2024-06-25,Technology,Home Office,West,7.0,683.09,0.05,-6.03
10178,2024-06-26,Office Supplies,Home Office,West,7.0,891.13,0.18,121.23
10179,2024-06-27,Furniture,Corporate,East,2.0,,0.21,8.14
10180,2024-06-28,Furniture,Corporate,Central,3.0,1150.23,0.34,-95.67
10181,2024-06-29,Furniture,Home Office,East,1.0,459.62,0.33,54.42
10182,2024-06-30,Technology,Corporate,South,8.0,561.92,0.04,121.64
10183,2024-07-01,Office Supplies,Consumer,West,9.0,1346.44,0.2,29.56
10184,2024-07-02,Furniture,Corporate,East,4.0,1422.36,0.09,-128.69
10185,2024-07-03,Furniture,Corporate,East,6.0,1344.21,0.08,-82.66
10186,2024-07-04,Furniture,Consumer,Central,9.0,658.2,0.41,-28.39
10187,2024-07-05,Technology,Consumer,Central,6.0,1181.53,0.02,-17.78
10188,2024-07-06,Technology,Home Office,West,9.0,740.69,0.21,103.15
10189,2024-07-07,Office Supplies,Home Office,East,4.0,771.43,0.08,92.9
10190,2024-07-08,Technology,Consumer,East,8.0,346.79,0.44,56.61
10191,2024-07-09,Furniture,Consumer,Central,9.0,907.14,0.28,11.91
10192,2024-07-10,Office Supplies,Home Office,East,4.0,319.9,0.12,70.63
10193,2024-07-11,Furniture,Corporate,East,5.0,530.77,0.25,-30.87
10194,2024-07-12,Furniture,Consumer,East,8.0,1289.79,0.37,78.77
10195,2024-07-13,Technology,Home Office,Central,6.0,350.26,0.48,73.7
10196,2024-07-14,Office Supplies,Corporate,West,7.0,153.18,0.11,-10.56
10197,2024-07-15,Technology,Consumer,South,3.0,150.06,0.44,-15.09
10198,2024-07-16,Technology,Corporate,West,7.0,1414.14,0.47,350.22
10199,2024-07-17,Office Supplies,Home Office,South,8.0,785.03,0.46,3.39
10200,2024-07-18,Furniture,Consumer,East,6.0,643.65,0.32,101.53
10201,2024-07-19,Furniture,Corporate,West,9.0,1225.77,0.31,-169.88
10202,2024-07-20,Office Supplies,Consumer,South,6.0,1261.95,0.2,202.57
10203,2024-07-21,Furniture,Corporate,Central,9.0,531.68,0.38,-4.12
10204,2024-07-22,Office Supplies,Home Office,Central,4.0,1055.75,0.27,-131.88
10205,2024-07-23,Office Supplies,Home Office,West,8.0,1168.13,0.34,145.33
10206,2024-07-24,Technology,Consumer,West,4.0,999.24,0.21,-41.61
10207,2024-07-25,Office Supplies,Corporate,East,2.0,269.81,0.37,6.49
10208,2024-07-26,Technology,Consumer,West,9.0,1320.03,0.41,-150.14
10209,2024-07-27,Furniture,Consumer,East,5.0,831.69,0.07,-69.68
10210,2024-07-28,Furniture,Corporate,East,4.0,459.59,0.42,-7.31
10211,2024-07-29,Furniture,Corporate,Central,2.0,666.58,0.27,-73.06
10212,2024-07-30,Furniture,Corporate,Central,1.0,104.48,0.42,27.15
10213,2024-07-31,Technology,Home Office,South,7.0,235.41,0.22,-34.67
10214,2024-08-01,Furniture,Consumer,Central,6.0,1160.04,0.19,78.58
10215,2024-08-02,Office Supplies,Consumer,Central,2.0,50.02,0.46,-4.73
10216,2024-08-03,Office Supplies,Home Office,West,8.0,654.02,0.13,-7.55
10217,2024-08-04,Office Supplies,Corporate,Central,4.0,807.64,0.42,215.42
10218,2024-08-05,Technology,Home Office,South,8.0,129.22,0.24,-9.98
10219,2024-08-06,Furniture,Home Office,West,7.0,1460.96,0.26,415.83
10220,2024-08-07,Furniture,Home Office,South,5.0,377.88,0.15,-21.69
10221,2024-08-08,Furniture,Consumer,Central,8.0,491.09,0.29,90.22
10222,2024-08-09,Technology,Home Office,South,9.0,490.72,0.16,47.11
10223,2024-08-10,Office Supplies,Consumer,West,5.0,384.1,0.02,95.26
10224,2024-08-11,Office Supplies,Consumer,East,5.0,52.14,0.14,5.18
10225,2024-08-12,Furniture,Consumer,South,2.0,1107.55,0.0,100.29
10226,2024-08-13,Office Supplies,Corporate,South,5.0,1451.93,0.49,-90.08
10227,2024-08-14,Office Supplies,Consumer,West,3.0,375.23,0.48,-28.22
10228,2024-08-15,Technology,Consumer,West,7.0,1011.42,0.2,265.42
10229,2024-08-16,Technology,Corporate,South,5.0,1125.75,0.36,-2.78
10230,2024-08-17,Technology,Consumer,Central,8.0,1280.22,0.17,22.32
10231,2024-08-18,Technology,Home Office,South,1.0,662.81,0.34,127.21
10232,2024-08-19,Furniture,Home Office,West,3.0,489.25,0.4,1.21
10233,2024-08-20,Technology,Consumer,East,3.0,521.68,0.47,145.25
10234,2024-08-21,Office Supplies,Corporate,East,9.0,1083.3,0.2,197.23
10235,2024-08-22,Furniture,Home Office,Central,5.0,1234.33,0.39,146.69
10236,2024-08-23,Office Supplies,Corporate,South,9.0,313.34,0.13,77.21
10237,2024-08-24,Office Supplies,Corporate,East,9.0,587.86,0.5,-75.06
10238,2024-08-25,Office Supplies,Home Office,South,1.0,1357.81,0.01,-46.6
10239,2024-08-26,Technology,Corporate,West,2.0,1219.71,0.3,72.29
10240,2024-08-27,Technology,Home Office,East,5.0,1478.04,0.33,-70.74
10241,2024-08-28,Furniture,Corporate,Central,4.0,1143.66,0.34,211.3
10242,2024-08-29,Furniture,Home Office,West,9.0,620.13,0.06,163.49
10243,2024-08-30,Technology,Consumer,Central,7.0,906.42,0.47,36.89
10244,2024-08-31,Office Supplies,Home Office,West,6.0,1008.47,0.09,3.99
10245,2024-09-01,Furniture,Home Office,East,7.0,163.76,0.31,46.29
10246,2024-09-02,Technology,Home Office,Central,1.0,839.52,0.11,42.13
10247,2024-09-03,Technology,Home Office,Central,1.0,1078.52,0.15,75.57
10248,2024-09-04,Technology,Corporate,West,8.0,292.62,0.27,2.41
10249,2024-09-05,Office Supplies,Consumer,Central,2.0,1181.92,0.21,306.47
10250,2024-09-06,Technology,Home Office,West,9.0,896.47,0.08,95.05
10251,2024-09-07,Technology,Corporate,West,7.0,1430.72,0.09,276.1
10252,2024-09-08,Technology,Consumer,West,6.0,111.51,0.21,24.01
10253,2024-09-09,Technology,Consumer,West,1.0,434.72,0.38,1.67
10254,2024-09-10,Furniture,Consumer,East,1.0,922.25,0.45,41.65
10255,2024-09-11,Furniture,Consumer,West,2.0,480.01,0.04,111.27
10256,2024-09-12,Technology,Home Office,South,6.0,1085.92,0.2,14.62
10257,2024-09-13,Office Supplies,Home Office,Central,6.0,1150.56,0.05,238.48
10258,2024-09-14,Furniture,Corporate,South,2.0,198.65,0.01,54.32
10259,2024-09-15,Technology,Corporate,East,1.0,795.09,0.33,103.72
10260,2024-09-16,Furniture,Corporate,South,5.0,787.89,0.3,144.76
10261,2024-09-17,Furniture,Consumer,Central,5.0,585.46,0.08,124.29
10262,2024-09-18,Office Supplies,Consumer,South,2.0,1402.74,0.12,323.01
10263,2024-09-19,Technology,Home Office,East,6.0,1249.88,0.01,34.71
10264,2024-09-20,Technology,Consumer,West,9.0,1060.95,0.42,-134.67
10265,2024-09-21,Office Supplies,Consumer,South,2.0,1085.77,0.49,33.49
10266,2024-09-22,Office Supplies,Consumer,East,2.0,719.49,0.07,110.22
10267,2024-09-23,Technology,Corporate,East,3.0,1385.44,0.12,72.95
10268,2024-09-24,Technology,Corporate,Central,7.0,1057.16,0.43,197.72
10269,2024-09-25,Office Supplies,Home Office,Central,6.0,1107.02,0.46,11.78
10270,2024-09-26,Furniture,Consumer,South,8.0,1299.45,0.21,176.25
10271,2024-09-27,Furniture,Consumer,West,8.0,447.4,0.03,-29.58
10272,2024-09-28,Office Supplies,Home Office,East,6.0,1220.25,0.02,
10273,2024-09-29,Furniture,Consumer,South,3.0,333.1,0.29,31.83
10274,2024-09-30,Office Supplies,Consumer,East,3.0,550.75,0.2,-32.04
10275,2024-10-01,Furniture,Corporate,East,1.0,536.64,0.01,-10.0
10276,2024-10-02,Furniture,Home Office,West,7.0,1468.86,0.29,274.49
10277,2024-10-03,Technology,Home Office,West,5.0,1291.98,0.01,86.78
10278,2024-10-04,Technology,Home Office,South,4.0,1066.7,0.39,-56.31
10279,2024-10-05,Furniture,Home Office,West,4.0,1104.23,0.15,315.01
10280,2024-10-06,Furniture,Corporate,West,4.0,865.01,0.02,148.61
10281,2024-10-07,Technology,Corporate,South,6.0,1423.28,0.29,399.53
10282,2024-10-08,Technology,Consumer,West,8.0,769.58,0.2,32.47
10283,2024-10-09,Technology,Consumer,Central,8.0,601.75,0.49,38.39
10284,2024-10-10,Office Supplies,Consumer,East,5.0,286.4,0.27,72.77
10285,2024-10-11,Furniture,Consumer,East,6.0,1190.0,0.14,102.66
10286,2024-10-12,Technology,Corporate,East,4.0,1114.94,0.35,187.62
10287,2024-10-13,Furniture,Home Office,East,9.0,607.31,0.14,-22.18
10288,2024-10-14,Office Supplies,Corporate,South,8.0,86.53,0.45,4.42
10289,2024-10-15,Office Supplies,Consumer,East,1.0,1266.55,0.19,-119.62
10290,2024-10-16,Technology,Corporate,East,2.0,66.56,0.27,-3.81
10291,2024-10-17,Office Supplies,Home Office,East,9.0,1070.36,0.03,
10292,2024-10-18,Furniture,Home Office,East,8.0,1456.87,0.21,-192.79
10293,2024-10-19,Technology,Corporate,Central,3.0,684.61,0.42,198.38
10294,2024-10-20,Furniture,Corporate,East,8.0,390.71,0.4,-16.0
10295,2024-10-21,Furniture,Corporate,Central,1.0,1072.06,0.11,159.19
10296,2024-10-22,Office Supplies,Consumer,South,4.0,1234.84,0.11,281.04
10297,2024-10-23,Office Supplies,Corporate,West,3.0,842.32,0.41,82.38
10298,2024-10-24,Office Supplies,Corporate,East,6.0,1452.2,0.47,-117.75
10299,2024-10-25,Office Supplies,Corporate,West,7.0,124.92,0.05,22.19
10300,2024-10-26,Office Supplies,Home Office,West,4.0,781.95,0.23,93.92
10301,2024-10-27,Technology,Home Office,South,7.0,1091.76,0.17,195.49
10302,2024-10-28,Furniture,Consumer,West,9.0,1300.83,0.44,255.46
10303,2024-10-29,Furniture,Consumer,Central,2.0,309.92,0.04,89.55
10304,2024-10-30,Furniture,Home Office,West,3.0,1210.01,0.11,130.81
10305,2024-10-31,Furniture,Home Office,West,5.0,851.43,0.38,3.18
10306,2024-11-01,Office Supplies,Home Office,West,3.0,625.0,0.03,88.63
10307,2024-11-02,Furniture,Corporate,East,8.0,240.99,0.25,-28.73
10308,2024-11-03,Technology,Corporate,East,8.0,1304.68,0.22,331.17
10309,2024-11-04,Technology,Home Office,Central,8.0,278.05,0.17,
10310,2024-11-05,Furniture,Corporate,Central,9.0,499.19,0.2,-1.23
10311,2024-11-06,Furniture,Corporate,East,4.0,470.57,0.26,102.15
10312,2024-11-07,Technology,Consumer,Central,5.0,1313.55,0.08,156.04
10313,2024-11-08,Technology,Home Office,East,5.0,1025.42,0.29,27.83
10314,2024-11-09,Office Supplies,Home Office,South,8.0,1205.19,0.4,75.98
10315,2024-11-10,Technology,Corporate,West,7.0,413.18,0.38,96.91
10316,2024-11-11,Office Supplies,Home Office,West,9.0,956.07,0.08,2.87
10317,2024-11-12,Office Supplies,Consumer,Central,8.0,879.03,0.07,212.15
10318,2024-11-13,Office Supplies,Consumer,East,2.0,1257.6,0.13,-138.76
10319,2024-11-14,Office Supplies,Consumer,East,4.0,1363.83,0.18,272.16
10320,2024-11-15,Office Supplies,Home Office,Central,6.0,67.63,0.2,15.65
10321,2024-11-16,Furniture,Home Office,East,2.0,,0.34,-70.05
10322,2024-11-17,Technology,Home Office,South,7.0,125.16,0.03,5.46
10323,2024-11-18,Office Supplies,Home Office,West,3.0,845.85,0.02,-63.88
10324,2024-11-19,Technology,Home Office,Central,3.0,467.07,0.2,78.45
10325,2024-11-20,Technology,Consumer,Central,2.0,494.83,0.35,44.98
10326,2024-11-21,Office Supplies,Corporate,East,8.0,561.79,0.1,76.34
10327,2024-11-22,Furniture,Consumer,Central,6.0,950.87,0.32,-58.56
10328,2024-11-23,Office Supplies,Home Office,South,1.0,534.37,0.13,-29.24
10329,2024-11-24,Furniture,Consumer,East,1.0,1112.41,0.44,-146.09
10330,2024-11-25,Technology,Home Office,East,7.0,636.56,0.45,-3.23
10331,2024-11-26,Furniture,Home Office,East,8.0,149.11,0.15,15.19
10332,2024-11-27,Furniture,Consumer,East,5.0,1186.45,0.11,280.09
10333,2024-11-28,Furniture,Home Office,South,5.0,464.35,0.21,69.71
10334,2024-11-29,Technology,Corporate,East,4.0,677.51,0.12,31.12
10335,2024-11-30,Technology,Home Office,Central,6.0,1043.89,0.34,291.15
10336,2024-12-01,Furniture,Corporate,South,6.0,532.06,0.41,92.4
10337,2024-12-02,Furniture,Corporate,West,3.0,132.05,0.34,35.47
10338,2024-12-03,Office Supplies,Home Office,West,9.0,592.19,0.41,51.77
10339,2024-12-04,Furniture,Consumer,Central,7.0,1419.45,0.2,-47.54
10340,2024-12-05,Office Supplies,Corporate,Central,1.0,980.51,0.08,-123.77
10341,2024-12-06,Furniture,Consumer,South,7.0,1023.64,0.37,180.92
10342,2024-12-07,Office Supplies,Corporate,West,5.0,966.81,0.18,-92.25
10343,2024-12-08,Technology,Home Office,West,5.0,338.54,0.34,-4.66
10344,2024-12-09,Furniture,Home Office,West,2.0,656.58,0.14,58.84
10345,2024-12-10,Furniture,Corporate,West,4.0,1138.86,0.04,118.43
10346,2024-12-11,Furniture,Home Office,West,6.0,196.99,0.5,23.69
10347,2024-12-12,Furniture,Corporate,East,7.0,452.89,0.08,-34.05
10348,2024-12-13,Office Supplies,Home Office,Central,5.0,450.66,0.49,9.41
10349,2024-12-14,Furniture,Consumer,East,9.0,676.43,0.49,86.41
10350,2024-12-15,Technology,Home Office,West,3.0,,0.4,421.47
10351,2024-12-16,Technology,Consumer,South,1.0,147.88,0.33,26.24
10352,2024-12-17,Furniture,Home Office,South,4.0,802.12,0.29,212.7
10353,2024-12-18,Technology,Consumer,West,9.0,310.08,0.43,59.84
10354,2024-12-19,Furniture,Home Office,West,4.0,1457.48,0.14,169.47
10355,2024-12-20,Furniture,Consumer,South,2.0,214.29,0.23,-13.63
10356,2024-12-21,Technology,Corporate,East,5.0,635.22,0.31,95.29
