Transaction_ID,Amount,Time,Location,Transaction_Type,Fraud
TXN100131,1174.46,1272,Bengaluru,Mobile Payment,0
TXN100132,379.06,1341,Nagpur,Bank Transfer,0
TXN100133,1760.92,209,Pune,Online,0
TXN100134,437.28,1415,Nashik,Mobile Payment,0
TXN100135,5166.42,95,Pune,POS,0
TXN100136,501.07,893,Aurangabad,POS,0
TXN100137,794.68,755,Delhi,Mobile Payment,0
TXN100138,2473.82,1109,Bengaluru,Bank Transfer,0
TXN100139,320.26,414,Bengaluru,Mobile Payment,0
TXN100140,1376.72,393,Bengaluru,ATM,0
TXN100141,4052.72,695,Nashik,Bank Transfer,0
TXN100142,219.76,843,Nagpur,Mobile Payment,0
TXN100143,1319.01,603,Hyderabad,Online,0
TXN100144,1422.09,581,Nagpur,Bank Transfer,0
TXN100145,2396.64,132,Bengaluru,Mobile Payment,0
TXN100146,318.32,790,Nagpur,Online,0
TXN100147,292.82,648,Delhi,Mobile Payment,0
TXN100148,1848.15,1337,Bengaluru,ATM,0
TXN100149,2650.68,220,Mumbai,POS,1
TXN100150,1408.8,975,Nashik,Mobile Payment,0
TXN100151,1550.68,1069,Delhi,Bank Transfer,0
TXN100152,555.56,1215,Hyderabad,Mobile Payment,0
TXN100153,1383.34,1402,Nashik,Mobile Payment,0
TXN100154,1470.08,787,Hyderabad,Mobile Payment,0
TXN100155,2017.35,690,Bengaluru,Mobile Payment,1
TXN100156,7085.28,1357,Delhi,Bank Transfer,0
TXN100157,1761.34,38,Bengaluru,Bank Transfer,0
TXN100158,333.18,1316,Hyderabad,Mobile Payment,0
TXN100159,2114.46,689,Hyderabad,POS,0
TXN100160,413.77,161,Delhi,Mobile Payment,0
TXN100161,2409.28,1354,Bengaluru,Bank Transfer,0
TXN100162,3493.28,1127,Mumbai,ATM,0
TXN100163,482.66,160,Nashik,Mobile Payment,0
TXN100164,2873.76,1077,Delhi,Mobile Payment,0
TXN100165,1657.03,1057,Mumbai,Mobile Payment,0
TXN100166,2495.04,241,Pune,Mobile Payment,0
TXN100167,7308.5,966,Bengaluru,Online,0
TXN100168,858.01,889,Aurangabad,Mobile Payment,0
TXN100169,516.08,112,Delhi,Bank Transfer,0
TXN100170,450.56,1013,Nagpur,Bank Transfer,0
TXN100171,1520.82,317,Mumbai,Online,1
TXN100172,1015.26,22,Mumbai,Mobile Payment,0
TXN100173,1542.49,823,Delhi,POS,0
TXN100174,1446.19,1141,Hyderabad,Mobile Payment,0
TXN100175,2507.86,700,Mumbai,Bank Transfer,0
TXN100176,1110.98,1018,Pune,ATM,0
TXN100177,4691.62,1235,Mumbai,ATM,0
TXN100178,841.63,1136,Aurangabad,POS,0
TXN100179,16650.06,1067,Aurangabad,Mobile Payment,0
TXN100180,2050.15,127,Hyderabad,Online,0
TXN100181,465.37,875,Bengaluru,Mobile Payment,0
TXN100182,375.82,157,Bengaluru,POS,0
TXN100183,1776.63,826,Hyderabad,POS,0
TXN100184,877.03,1417,Nagpur,POS,0
TXN100185,2239.48,851,Pune,ATM,0
TXN100186,1760.3,511,Aurangabad,Mobile Payment,0
TXN100187,1019.61,44,Hyderabad,Mobile Payment,0
TXN100188,470.22,1131,Delhi,Online,0
TXN100189,241.09,218,Nashik,POS,0
TXN100190,701.69,442,Nashik,POS,0
TXN100191,9192.1,314,Nashik,Bank Transfer,1
TXN100192,4776.25,176,Bengaluru,Bank Transfer,1
TXN100193,315.53,227,Delhi,ATM,0
TXN100194,1303.99,266,Mumbai,Mobile Payment,0
TXN100195,1612.14,869,Delhi,Online,0
TXN100196,453.11,837,Mumbai,Online,0
TXN100197,1278.86,1402,Nashik,POS,0
TXN100198,1162.36,488,Nagpur,Online,0
TXN100199,349.68,701,Nagpur,POS,0
TXN100200,1568.36,686,Hyderabad,Mobile Payment,0
TXN100201,1921.35,1313,Mumbai,Online,0
TXN100202,3239.1,995,Nashik,POS,0
TXN100203,3145.73,356,Delhi,Mobile Payment,0
TXN100204,276.53,871,Nagpur,Mobile Payment,0
TXN100205,429.31,203,Mumbai,POS,0
TXN100206,1835.43,1236,Hyderabad,POS,0
TXN100207,1833.14,551,Delhi,ATM,0
TXN100208,1835.46,322,Nashik,Mobile Payment,0
TXN100209,51675.11,593,Pune,POS,0
TXN100210,1940.87,180,Nashik,Mobile Payment,0
TXN100211,3413.75,498,Bengaluru,Online,0
TXN100212,2846.94,1343,Nashik,Bank Transfer,0
TXN100213,2103.57,82,Hyderabad,Bank Transfer,0
TXN100214,800.1,302,Delhi,POS,0
TXN100215,2342.49,261,Hyderabad,POS,0
TXN100216,1438.82,783,Delhi,Mobile Payment,1
TXN100217,865.39,1223,Aurangabad,POS,0
TXN100218,674.95,1263,Aurangabad,Mobile Payment,0
TXN100219,1190.2,913,Delhi,POS,0
TXN100220,11099.54,691,Delhi,Mobile Payment,0
TXN100221,169.48,943,Pune,POS,0
TXN100222,2178.21,682,Pune,ATM,0
TXN100223,218.61,1318,Nashik,Mobile Payment,0
TXN100224,684.08,688,Hyderabad,ATM,0
TXN100225,6355.2,395,Bengaluru,ATM,1
TXN100226,1169.44,1161,Hyderabad,ATM,0
TXN100227,373.25,838,Nagpur,ATM,0
TXN100228,536.3,877,Hyderabad,Online,0
TXN100229,2163.75,822,Bengaluru,Bank Transfer,0
TXN100230,528.28,1152,Pune,Online,0
TXN100231,1361.66,48,Nashik,POS,0
TXN100232,4354.74,788,Bengaluru,POS,1
TXN100233,571.58,292,Hyderabad,Bank Transfer,0
TXN100234,9357.6,535,Mumbai,Bank Transfer,0
TXN100235,2067.14,310,Aurangabad,Bank Transfer,0
TXN100236,144.73,536,Bengaluru,ATM,0
TXN100237,1321.41,638,Nagpur,Online,0
TXN100238,565.78,233,Nashik,POS,0
TXN100239,2571.99,1232,Bengaluru,Online,0
TXN100240,496.45,604,Delhi,Online,0
TXN100241,1733.49,93,Hyderabad,Online,1
TXN100242,1817.08,326,Mumbai,Bank Transfer,0
TXN100243,2606.48,224,Aurangabad,Bank Transfer,0
TXN100244,1099.11,966,Mumbai,POS,1
TXN100245,784.85,889,Nashik,POS,0
TXN100246,682.02,10,Hyderabad,POS,0
TXN100247,570.59,1352,Pune,Online,0
TXN100248,15810.65,1035,Aurangabad,Bank Transfer,1
TXN100249,1644.15,34,Hyderabad,ATM,0
TXN100250,310.79,446,Mumbai,Online,0
TXN100251,2745.89,1243,Pune,Mobile Payment,0
TXN100252,9155.92,440,Nagpur,Online,0
TXN100253,3079.32,652,Nashik,Bank Transfer,0
TXN100254,240.0,594,Nashik,Mobile Payment,0
TXN100255,675.71,228,Aurangabad,Online,0
TXN100256,3892.91,343,Mumbai,Bank Transfer,0
TXN100257,540.41,1103,Nagpur,Bank Transfer,0
TXN100258,1709.27,1376,Delhi,ATM,0
TXN100259,2379.47,1419,Aurangabad,Online,0
TXN100260,434.01,1313,Hyderabad,Bank Transfer,0
TXN100261,1033.26,988,Delhi,POS,0
TXN100262,42.89,1151,Aurangabad,Bank Transfer,0
TXN100263,393.71,908,Mumbai,ATM,0
TXN100264,851.87,1382,Nagpur,Bank Transfer,0
TXN100265,314.89,526,Mumbai,Online,0
TXN100266,5610.59,1336,Nashik,Online,0
TXN100267,262.4,74,Delhi,Mobile Payment,0
TXN100268,706.24,195,Pune,Online,0
TXN100269,1249.8,28,Bengaluru,Mobile Payment,0
TXN100270,18386.29,705,Hyderabad,POS,1
TXN100271,260.9,1020,Nashik,ATM,0
TXN100272,3509.27,15,Nashik,POS,0
TXN100273,1107.91,804,Delhi,Mobile Payment,0
TXN100274,410.96,1428,Hyderabad,Bank Transfer,0
TXN100275,1740.81,939,Aurangabad,Bank Transfer,0
TXN100276,1338.17,966,Nashik,POS,0
TXN100277,601.71,1100,Bengaluru,Bank Transfer,0
TXN100278,1175.92,228,Nagpur,Mobile Payment,0
TXN100279,745.97,961,Nashik,ATM,0
TXN100280,1228.46,1320,Nagpur,Online,0
TXN100281,2126.28,714,Mumbai,Mobile Payment,0
TXN100282,5356.24,983,Hyderabad,Mobile Payment,0
TXN100283,318.04,572,Aurangabad,Online,0
TXN100284,9256.06,614,Nagpur,Online,0
TXN100285,155.7,325,Nashik,ATM,0
TXN100286,942.2,1386,Aurangabad,ATM,0
TXN100287,1974.99,874,Bengaluru,ATM,0
TXN100288,1452.43,358,Aurangabad,Bank Transfer,0
TXN100289,588.34,323,Nagpur,Mobile Payment,0
TXN100290,890.58,1349,Hyderabad,Online,0
TXN100291,669.81,164,Nagpur,Mobile Payment,0
TXN100292,608.28,797,Pune,Mobile Payment,0
TXN100293,2564.71,454,Pune,ATM,0
TXN100294,1567.15,1176,Aurangabad,ATM,0
TXN100295,548.45,1150,Delhi,Mobile Payment,0
TXN100296,2696.2,192,Hyderabad,ATM,0
TXN100297,1491.14,626,Delhi,Bank Transfer,0
TXN100298,2472.2,529,Pune,Online,0
TXN100299,2058.29,1033,Nashik,Mobile Payment,0
TXN100300,478.67,91,Mumbai,Online,0
TXN100301,626.29,138,Aurangabad,Bank Transfer,0
TXN100302,2315.3,480,Mumbai,ATM,0
TXN100303,2019.03,448,Pune,POS,0
TXN100304,1824.74,1356,Nagpur,Bank Transfer,1
TXN100305,1233.15,868,Bengaluru,POS,0
TXN100306,3935.0,339,Aurangabad,Online,0
TXN100307,606.94,1075,Pune,Mobile Payment,0
TXN100308,1895.23,465,Hyderabad,ATM,0
TXN100309,895.88,717,Nashik,Bank Transfer,0
TXN100310,882.11,798,Bengaluru,ATM,0
TXN100311,3290.44,474,Aurangabad,POS,0
TXN100312,9872.5,400,Aurangabad,POS,1
TXN100313,2473.8,604,Hyderabad,Mobile Payment,0
TXN100314,4045.98,931,Delhi,POS,0
TXN100315,1119.91,996,Nagpur,Mobile Payment,0
TXN100316,2168.85,921,Aurangabad,Bank Transfer,0
TXN100317,804.11,820,Nagpur,Mobile Payment,0
TXN100318,1516.51,656,Pune,POS,0
TXN100319,1903.88,597,Nashik,Online,1
TXN100320,1208.33,1176,Bengaluru,Mobile Payment,0
TXN100321,1988.54,513,Bengaluru,ATM,0
TXN100322,483.85,1029,Nashik,Online,0
TXN100323,8887.38,499,Aurangabad,Mobile Payment,0
TXN100324,401.01,716,Aurangabad,ATM,0
TXN100325,325.65,1141,Pune,Online,0
TXN100326,3491.58,600,Delhi,Mobile Payment,0
TXN100327,2420.34,665,Delhi,Bank Transfer,0
TXN100328,2046.98,467,Delhi,ATM,0
TXN100329,2055.65,160,Nagpur,Bank Transfer,0
TXN100330,1083.28,269,Delhi,POS,0
TXN100331,447.08,1079,Nashik,Mobile Payment,0
TXN100332,1182.99,227,Bengaluru,Mobile Payment,0
TXN100333,557.15,848,Bengaluru,ATM,0
TXN100334,2907.71,148,Nagpur,Mobile Payment,0
TXN100335,946.66,1069,Pune,POS,0
TXN100336,480.34,1167,Nashik,Mobile Payment,0
TXN100337,795.22,631,Bengaluru,Online,0
TXN100338,1657.28,1363,Nashik,Bank Transfer,0
TXN100339,624.08,412,Bengaluru,POS,0
TXN100340,481.92,519,Mumbai,POS,0
TXN100341,1399.24,1367,Pune,Bank Transfer,0
TXN100342,1401.04,386,Pune,Bank Transfer,0
TXN100343,660.54,274,Hyderabad,POS,0
TXN100344,684.69,352,Mumbai,Bank Transfer,0
TXN100345,1383.05,1089,Nagpur,ATM,0
TXN100346,257.73,1102,Bengaluru,Bank Transfer,0
TXN100347,268.42,597,Hyderabad,Online,0
TXN100348,534.62,1225,Bengaluru,Online,0
TXN100349,885.85,557,Bengaluru,ATM,0
TXN100350,1496.53,112,Delhi,Bank Transfer,0
TXN100351,4795.13,1114,Delhi,Online,0
TXN100352,2585.46,140,Delhi,Mobile Payment,0
TXN100353,934.55,1312,Delhi,Bank Transfer,0
TXN100354,1075.98,729,Delhi,ATM,0
TXN100355,402.41,588,Mumbai,Bank Transfer,0
TXN100356,1076.52,410,Pune,POS,0
TXN100357,821.67,376,Nagpur,POS,0
TXN100358,1514.32,1407,Nashik,Online,0
TXN100359,479.51,1175,Delhi,POS,0
TXN100360,1843.36,750,Mumbai,ATM,0
TXN100361,5078.34,626,Hyderabad,Online,0
TXN100362,983.62,1342,Hyderabad,ATM,0
TXN100363,1638.79,1392,Bengaluru,ATM,0
TXN100364,2186.69,994,Nagpur,POS,0
TXN100365,734.2,702,Hyderabad,POS,0
TXN100366,1372.09,461,Nagpur,ATM,0
TXN100367,1110.53,11,Nagpur,POS,0
TXN100368,1209.15,1179,Mumbai,POS,0
TXN100369,506.23,476,Nashik,POS,0
TXN100370,1123.84,938,Delhi,Bank Transfer,0
TXN100371,1804.43,400,Nagpur,ATM,0
TXN100372,4680.42,807,Mumbai,Mobile Payment,0
TXN100373,2861.99,176,Bengaluru,ATM,0
TXN100374,9444.45,1364,Pune,Online,0
TXN100375,509.1,56,Bengaluru,POS,0
TXN100376,2623.65,447,Mumbai,POS,0
TXN100377,1317.3,202,Mumbai,Mobile Payment,0
TXN100378,9796.72,737,Mumbai,Online,0
TXN100379,488.68,201,Nagpur,Bank Transfer,0
TXN100380,473.56,1353,Mumbai,ATM,0
TXN100381,602.21,362,Pune,Bank Transfer,0
TXN100382,131.12,891,Nagpur,Online,0
TXN100383,648.23,453,Bengaluru,Mobile Payment,0
TXN100384,513.3,355,Pune,Online,0
TXN100385,1274.61,215,Hyderabad,Mobile Payment,0
TXN100386,1543.42,971,Aurangabad,Bank Transfer,0
TXN100387,7159.32,554,Bengaluru,Bank Transfer,0
TXN100388,2836.78,886,Mumbai,Online,0
TXN100389,1903.38,22,Delhi,Online,1
TXN100390,446.57,154,Delhi,POS,0
TXN100391,1793.49,1209,Nagpur,Mobile Payment,0
TXN100392,292.88,248,Delhi,POS,0
TXN100393,6846.27,748,Bengaluru,ATM,0
TXN100394,3566.86,804,Nagpur,ATM,0
TXN100395,685.96,133,Bengaluru,Online,0
TXN100396,197.72,320,Mumbai,Bank Transfer,0
TXN100397,4246.59,389,Nashik,ATM,0
TXN100398,977.95,433,Nashik,ATM,0
TXN100399,3781.27,1045,Pune,POS,0
TXN100400,577.76,872,Mumbai,POS,1
TXN100401,602.22,1148,Delhi,ATM,0
TXN100402,1102.4,1102,Mumbai,Online,0
TXN100403,1149.38,857,Aurangabad,POS,0
TXN100404,2601.31,50,Nashik,ATM,1
TXN100405,2044.38,175,Delhi,Bank Transfer,0
TXN100406,1419.16,869,Bengaluru,POS,1
TXN100407,951.1,252,Bengaluru,ATM,0
TXN100408,1236.82,965,Nashik,Mobile Payment,0
TXN100409,1834.34,1269,Mumbai,POS,0
TXN100410,2234.15,738,Delhi,Mobile Payment,0
TXN100411,356.15,1129,Pune,POS,0
TXN100412,236.49,1216,Bengaluru,POS,0
TXN100413,3935.04,1339,Mumbai,Mobile Payment,0
TXN100414,1528.92,301,Pune,Online,0
TXN100415,518.8,547,Hyderabad,ATM,0
TXN100416,5172.71,715,Delhi,Online,0
TXN100417,1231.11,778,Nashik,Online,0
TXN100418,3566.35,267,Hyderabad,ATM,0
TXN100419,1173.23,1193,Aurangabad,Bank Transfer,0
TXN100420,8610.59,1009,Hyderabad,Online,0
TXN100421,6344.48,550,Nagpur,Online,0
TXN100422,854.94,1315,Nashik,Online,0
TXN100423,2897.41,1164,Pune,Bank Transfer,0
TXN100424,2090.95,1169,Mumbai,POS,0
TXN100425,4309.73,313,Hyderabad,Mobile Payment,0
TXN100426,417.83,183,Bengaluru,Mobile Payment,0
TXN100427,2177.76,712,Delhi,Bank Transfer,0
TXN100428,5657.46,127,Hyderabad,Online,1
TXN100429,188.91,1310,Nashik,Mobile Payment,0
TXN100430,335.88,1276,Bengaluru,Bank Transfer,0
TXN100431,142.7,699,Bengaluru,ATM,0
TXN100432,837.64,385,Aurangabad,Mobile Payment,0
TXN100433,2247.43,1253,Delhi,ATM,0
TXN100434,4926.37,270,Hyderabad,Online,0
TXN100435,1180.97,810,Pune,Mobile Payment,0
TXN100436,5589.33,414,Delhi,Bank Transfer,0
TXN100437,275.86,197,Hyderabad,POS,0
TXN100438,199.66,1346,Delhi,Mobile Payment,0
TXN100439,1037.38,1079,Mumbai,Mobile Payment,0
TXN100440,1610.12,830,Nagpur,Mobile Payment,0
TXN100441,1061.36,1226,Hyderabad,Mobile Payment,0
TXN100442,428.27,627,Bengaluru,Bank Transfer,1
TXN100443,1003.13,603,Pune,Bank Transfer,0
TXN100444,297.53,1161,Hyderabad,POS,0
TXN100445,2142.38,1080,Hyderabad,Bank Transfer,0
TXN100446,1582.24,1009,Mumbai,Bank Transfer,0
TXN100447,428.43,70,Bengaluru,Online,0
TXN100448,655.98,910,Nagpur,Online,0
TXN100449,380.23,593,Mumbai,ATM,0
TXN100450,1030.01,1395,Nagpur,POS,0
TXN100451,2850.19,599,Nagpur,Online,0
TXN100452,409.23,513,Nagpur,POS,0
TXN100453,1815.37,83,Mumbai,POS,0
TXN100454,645.32,993,Delhi,Mobile Payment,0
TXN100455,496.27,1066,Hyderabad,POS,0
TXN100456,985.32,838,Nagpur,Mobile Payment,0
TXN100457,389.46,605,Delhi,ATM,0
TXN100458,630.4,809,Hyderabad,ATM,0
TXN100459,331.0,132,Bengaluru,ATM,0
TXN100460,7822.23,1418,Hyderabad,Mobile Payment,0
TXN100461,1135.99,1088,Bengaluru,Mobile Payment,0
TXN100462,544.72,289,Pune,ATM,0
TXN100463,1358.29,375,Aurangabad,Mobile Payment,0
TXN100464,980.12,768,Delhi,Bank Transfer,0
TXN100465,879.22,466,Hyderabad,Bank Transfer,0
TXN100466,2026.71,1236,Bengaluru,Mobile Payment,0
TXN100467,2339.07,1171,Aurangabad,Mobile Payment,0
TXN100468,645.16,470,Nagpur,Online,0
TXN100469,616.58,148,Aurangabad,Online,0
TXN100470,2462.59,87,Aurangabad,POS,1
TXN100471,109.74,1347,Nagpur,POS,0
TXN100472,241.0,395,Delhi,POS,0
TXN100473,4302.17,789,Hyderabad,ATM,0
TXN100474,5681.48,1427,Nagpur,Bank Transfer,0
TXN100475,854.88,1105,Pune,ATM,0
TXN100476,1951.9,1309,Nashik,Mobile Payment,0
TXN100477,1497.05,1405,Hyderabad,Online,0
TXN100478,23834.3,864,Mumbai,Mobile Payment,0
TXN100479,3359.59,1293,Nagpur,Mobile Payment,0
TXN100480,964.96,1315,Nagpur,Online,0
TXN100481,421.77,23,Aurangabad,Mobile Payment,0
TXN100482,219.98,955,Pune,POS,0
TXN100483,5066.24,310,Bengaluru,Online,1
TXN100484,514.73,1231,Bengaluru,Mobile Payment,0
TXN100485,264.47,663,Aurangabad,POS,0
TXN100486,574.46,437,Delhi,POS,0
TXN100487,371.84,705,Hyderabad,Bank Transfer,0
TXN100488,5926.22,1359,Nagpur,POS,0
TXN100489,2648.21,421,Hyderabad,ATM,0
TXN100490,1087.92,320,Hyderabad,Online,0
TXN100491,4817.18,586,Nagpur,Online,0
TXN100492,1184.85,946,Aurangabad,Online,0
TXN100493,463.46,1186,Hyderabad,Mobile Payment,0
TXN100494,5029.74,1188,Nagpur,Mobile Payment,0
TXN100495,1879.78,848,Delhi,ATM,0
TXN100496,388.68,1318,Hyderabad,POS,0
TXN100497,906.56,41,Nashik,Mobile Payment,0
TXN100498,456.86,1308,Mumbai,POS,0
TXN100499,275.12,938,Mumbai,POS,0
TXN100500,2768.82,386,Mumbai,Mobile Payment,0
TXN100501,7401.34,1161,Nashik,Mobile Payment,0
TXN100502,270.81,1210,Nagpur,ATM,0
TXN100503,1925.55,909,Aurangabad,Bank Transfer,0
TXN100504,572.12,715,Bengaluru,Online,0
TXN100505,673.76,430,Pune,Mobile Payment,0
TXN100506,606.44,553,Nagpur,Mobile Payment,0
TXN100507,462.21,1439,Nashik,POS,0
TXN100508,1151.16,799,Hyderabad,Bank Transfer,0
TXN100509,477.73,425,Delhi,Mobile Payment,0
TXN100510,2891.45,1439,Nashik,Bank Transfer,1
TXN100511,1042.9,25,Hyderabad,Online,0
TXN100512,863.55,1394,Bengaluru,POS,0
TXN100513,442.5,384,Mumbai,ATM,0
TXN100514,615.99,55,Nagpur,Online,0
TXN100515,2334.12,1276,Bengaluru,Bank Transfer,0
TXN100516,4507.71,633,Mumbai,Bank Transfer,1
TXN100517,412.59,105,Pune,Online,0
TXN100518,1211.16,1153,Hyderabad,Bank Transfer,0
TXN100519,2324.79,848,Hyderabad,ATM,0
TXN100520,206.56,669,Delhi,ATM,0
TXN100521,1888.16,375,Mumbai,Bank Transfer,0
TXN100522,565.31,742,Pune,Bank Transfer,0
TXN100523,1940.3,966,Hyderabad,ATM,0
TXN100524,511.19,307,Nashik,Bank Transfer,0
TXN100525,180.39,90,Mumbai,Mobile Payment,0
TXN100526,215.39,1416,Mumbai,POS,0
TXN100527,1150.65,801,Aurangabad,Mobile Payment,0
TXN100528,1421.86,109,Delhi,Bank Transfer,0
TXN100529,443.94,584,Delhi,Bank Transfer,0
TXN100530,2076.82,339,Bengaluru,POS,0
TXN100531,208.2,978,Nashik,Bank Transfer,0
